"term","Group1","Group2","null.value","estimate","conf.low","conf.high","adj.p.value","Significant","Group1_CLD","Group2_CLD"
"site_number","22","7",0,-0.244222273442436,-3.17739973801889,2.68895519113402,1,"No","ab","ab"
"site_number","23","7",0,-2.26001912897778,-5.19319659355423,0.673158335598673,0.590531735852205,"No","abc","ab"
"site_number","24","7",0,-0.956389876158537,-3.88956734073499,1.97678758841792,0.999999999985384,"No","abc","ab"
"site_number","25","7",0,-1.95581062585242,-4.88898809042888,0.97736683872403,0.903510564805011,"No","abc","ab"
"site_number","26","7",0,-1.69381631094945,-4.62699377552591,1.239361153627,0.991525123984264,"No","abc","ab"
"site_number","27","7",0,-0.520254865802255,-3.45343233037871,2.4129225987742,1,"No","abc","ab"
"site_number","28","7",0,-0.384741186808398,-3.31791865138485,2.54843627776805,1,"No","abc","ab"
"site_number","29","7",0,-2.96572512948803,-5.64333756701192,-0.288112691964141,0.00899721670833609,"Yes","c","ab"
"site_number","30","7",0,-2.10085035070806,-5.03402781528451,0.832327113868398,0.778749367962476,"No","abc","ab"
"site_number","31","7",0,-2.28651233472249,-5.21968979929894,0.646665129853962,0.557048437861527,"No","bc","ab"
"site_number","32","7",0,-1.13354871030464,-4.0667261748811,1.79962875427181,0.999999969330459,"No","abc","ab"
"site_number","33","7",0,-0.38030492150981,-3.31348238608626,2.55287254306664,1,"No","abc","ab"
"site_number","34","7",0,-1.4294376884385,-4.36261515301496,1.50373977613795,0.999881854878063,"No","abc","ab"
"site_number","35","7",0,-2.59401916518749,-5.52719662976394,0.339158299388964,0.220452321111979,"No","bc","ab"
"site_number","36","7",0,-0.744944882497112,-3.67812234707357,2.18823258207934,1,"No","abc","ab"
"site_number","37","7",0,-0.530036603493797,-3.46321406807025,2.40314086108266,1,"No","abc","ab"
"site_number","38","7",0,-0.556279112189791,-3.48945657676624,2.37689835238666,1,"No","abc","ab"
"site_number","39","7",0,-0.718550445719923,-3.65172791029638,2.21462701885653,1,"No","abc","ab"
"site_number","40","7",0,-2.19577775893565,-5.1289552235121,0.737399705640802,0.670393851769459,"No","abc","ab"
"site_number","41","7",0,-0.951254730220743,-3.8844321947972,1.98192273435571,0.999999999988765,"No","abc","ab"
"site_number","42","7",0,-1.0469351812836,-3.98011264586005,1.88624228329286,0.999999998995794,"No","abc","ab"
"site_number","43","7",0,-2.01541784709228,-4.94859531166873,0.917759617484171,0.859291635410805,"No","abc","ab"
"site_number","44","7",0,-1.30197959447205,-4.2351570590485,1.6311978701044,0.99999412288644,"No","abc","ab"
"site_number","45","7",0,-0.51213789618906,-3.44531536076551,2.42103956838739,1,"No","abc","ab"
"site_number","46","7",0,-1.05417322914789,-3.83682970000973,1.72848324171394,0.999999986629786,"No","abc","ab"
"site_number","47","7",0,-1.31906828318607,-4.25224574776252,1.61410918139039,0.999990819911798,"No","abc","ab"
"site_number","48","7",0,-1.23112578064836,-4.16430324522482,1.70205168392809,0.99999921306755,"No","abc","ab"
"site_number","49","7",0,-0.334049712813142,-3.11670618367498,2.44860675804869,1,"No","ab","ab"
"site_number","50","7",0,-0.302477239228762,-3.23565470380521,2.63070022534769,1,"No","abc","ab"
"site_number","51","7",0,-0.259556489316871,-3.19273395389332,2.67362097525958,1,"No","ab","ab"
"site_number","52","7",0,-0.416013729983338,-3.34919119455979,2.51716373459312,1,"No","abc","ab"
"site_number","53","7",0,-1.1916385905421,-4.12481605511856,1.74153887403435,0.999999772798907,"No","abc","ab"
"site_number","54","7",0,-0.328706504181322,-3.26188396875777,2.60447096039513,1,"No","abc","ab"
"site_number","55","7",0,-0.116093277727537,-3.04927074230399,2.81708418684892,1,"No","ab","ab"
"site_number","56","7",0,-0.41379985881007,-3.34697732338652,2.51937760576638,1,"No","abc","ab"
"site_number","57","7",0,-0.899162918130074,-3.83234038270653,2.03401454644638,1,"No","abc","ab"
"site_number","58","7",0,-1.29127523033282,-4.22445269490927,1.64190223424364,0.999995588297699,"No","abc","ab"
"site_number","59","7",0,0.337843360639178,-2.59533410393728,3.27102082521563,1,"No","ab","ab"
