"metric","site_name","reporting_area","Ii","Z.Ii","p","p_fdr","cluster","sig_p05","sig_fdr05"
"ibr_combined","Point Defiance Ferry","11",0.115422838269706,0.369479692231134,0.711770207270324,0.817861490356132,"NS",FALSE,FALSE
"ibr_combined","Chambers Bay Park","13",0.0512826053844302,0.360608880637149,0.718391849637143,0.817861490356132,"NS",FALSE,FALSE
"ibr_combined","Kingston Marina","10",-0.0457657721726833,-0.324195716737264,0.745789864665383,0.832206386729747,"NS",FALSE,FALSE
"ibr_combined","Arroyo Beach","11",-0.0108578432288299,-0.296428229020091,0.766903069880752,0.832206386729747,"NS",FALSE,FALSE
"ibr_combined","Squaxin Island","13",0.0568984020080923,0.29614178401785,0.767121805284035,0.832206386729747,"NS",FALSE,FALSE
"ibr_combined","Donkey Creek Delta","11",0.0584669460073889,0.284566570704652,0.775976225464223,0.832206386729747,"NS",FALSE,FALSE
"ibr_combined","Edmonds Marina","9",-0.0410098905073305,-0.239382082218837,0.810809322493364,0.8571412837787,"NS",FALSE,FALSE
"ibr_combined","West Bay Park","13",-0.0115142631569821,-0.21050674279772,0.833272189573642,0.868480873640133,"NS",FALSE,FALSE
"ibr_combined","Aiston Preserve","7",0.0503922357217217,0.16597003723701,0.868180529927377,0.888029648760186,"NS",FALSE,FALSE
"ibr_combined","Friday Harbor","7",0.045738724572807,0.156004786799272,0.876029248101265,0.888029648760186,"NS",FALSE,FALSE
"ibr_combined","Three Tree Point","11",-0.0283075934261541,-0.0869615187330149,0.930702099790363,0.930702099790363,"NS",FALSE,FALSE
"ibr_morph","Chimacum Creek delta","9",-0.753463699548156,-2.66649909355696,0.00766458131027528,0.551741265262175,"NS",TRUE,FALSE
"ibr_morph","South of Skunk Island","9",0.0705231397273838,2.35204552410944,0.0186704897564855,0.551741265262175,"NS",TRUE,FALSE
"ibr_morph","Chambers Bay Park","13",1.34935180978967,2.18423556182515,0.0289449430371272,0.551741265262175,"NS",TRUE,FALSE
"ibr_morph","Discovery Bay","6",0.61117331078059,2.10311398693618,0.0354558065913019,0.551741265262175,"NS",TRUE,FALSE
"ibr_morph","Oak Bay County Park","9",0.0686117490527762,2.01011481071564,0.0444190388720559,0.551741265262175,"NS",TRUE,FALSE
"ibr_morph","Eagle Harbor Dr","10",-1.05866482892448,-2.00713041680959,0.0447357782645006,0.551741265262175,"NS",TRUE,FALSE
"ibr_morph","Locust Beach","7",-0.613078660872404,-1.79044673925297,0.0733821222075091,0.596224731190843,"NS",FALSE,FALSE
"ibr_morph","Maristone Island Bridge","9",0.514022316061397,1.76127881922135,0.0781912231792356,0.596224731190843,"NS",FALSE,FALSE
"ibr_morph","Suquamish Stormwater Outfall","10",-0.852332128654878,-1.70379848913461,0.0884187403536195,0.596224731190843,"NS",FALSE,FALSE
"ibr_morph","Blair Waterway","11",-0.466573830978693,-1.623764913076,0.104425991075215,0.596224731190843,"NS",FALSE,FALSE
"ibr_morph","Donkey Creek Delta","11",-0.778393260843291,-1.57646687966572,0.114918245852865,0.596224731190843,"NS",FALSE,FALSE
"ibr_morph","Browns Point Lighthouse","11",-0.347055342643445,-1.55894028997093,0.119010513192634,0.596224731190843,"NS",FALSE,FALSE
"ibr_morph","Silverdale, Dyes Inlet","10",-0.62950522732263,-1.54686691256641,0.12189534106972,0.596224731190843,"NS",FALSE,FALSE
"ibr_morph","Jamestown","6",0.494668290021353,1.52696200687965,0.1267704591369,0.596224731190843,"NS",FALSE,FALSE
"ibr_morph","Chuckanut, Clark's Point","7",-0.118399949196247,-1.52583145126374,0.127051845791146,0.596224731190843,"NS",FALSE,FALSE
"ibr_morph","Commencement Bay, Dick Gilmur Launch","11",-0.275894149665993,-1.51840054097614,0.128913455392615,0.596224731190843,"NS",FALSE,FALSE
"ibr_morph","Penn Cove Reference","8.1",0.967813183754506,1.40641683782471,0.159600383256709,0.662407005431964,"NS",FALSE,FALSE
"ibr_morph","Three Tree Point","11",0.46736918446932,1.40129448953102,0.161126028348316,0.662407005431964,"NS",FALSE,FALSE
"ibr_morph","Aiston Preserve","7",0.157906958474064,1.33491818761118,0.181903124418009,0.690544731462298,"NS",FALSE,FALSE
"ibr_morph","West Bay Park","13",-0.250941149466726,-1.30481384923226,0.191956242124745,0.690544731462298,"NS",FALSE,FALSE
"ibr_morph","Port Angeles Yacht Club","6",-0.179670669902826,-1.29313203604618,0.195965396766328,0.690544731462298,"NS",FALSE,FALSE
"ibr_morph","Kingston Marina","10",0.0580581759865516,1.26095951822692,0.207323432613624,0.697360636973098,"NS",FALSE,FALSE
