latitude,longitude,site_name,analyte,dry_value,unit,qualifier,class
47.50159,-122.38577,Arroyo Beach,C3_phenanthrenes_anthracenes,34.81930759,ng/g,D,lmw
47.50159,-122.38577,Arroyo Beach,C4_benzanthracenes_chrysenes,-2.401331558,ng/g,U,hmw
47.50159,-122.38577,Arroyo Beach,C4_dibenzothiophenes,-3.842130493,ng/g,U,lmw
47.50159,-122.38577,Arroyo Beach,C4_fluoranthenes_pyrenes,-3.842130493,ng/g,U,hmw
47.50159,-122.38577,Arroyo Beach,C4_naphthalenes,9.004993342,ng/g,"D,i",lmw
47.50159,-122.38577,Arroyo Beach,C4_phenanthrenes_anthracenes,30.61697736,ng/g,D,lmw
47.50159,-122.38577,Arroyo Beach,chrysene,23.41298269,ng/g,D,hmw
47.50159,-122.38577,Arroyo Beach,cis_nonachlor,-1.380765646,ng/g,U,chlordane
47.50159,-122.38577,Arroyo Beach,dibenz_ah_anthracene,-3.001664447,ng/g,U,hmw
47.50159,-122.38577,Arroyo Beach,dibenzothiophene,-3.842130493,ng/g,U,hmw
47.50159,-122.38577,Arroyo Beach,dieldrin,-1.080599201,ng/g,U,pesticide
47.50159,-122.38577,Arroyo Beach,Endosulfan_1,-1.200665779,ng/g,U,pesticide
47.50159,-122.38577,Arroyo Beach,fluoranthene,45.6252996,ng/g,D,hmw
47.50159,-122.38577,Arroyo Beach,fluorene,-3.842130493,ng/g,U,lmw
47.50159,-122.38577,Arroyo Beach,gamma_hexachlorocyclohexane,-1.14063249,ng/g,U,hch
47.50159,-122.38577,Arroyo Beach,heptachlor,-1.200665779,ng/g,U,chlordane
47.50159,-122.38577,Arroyo Beach,heptachlor_epoxide,-1.260699068,ng/g,U,chlordane
47.50159,-122.38577,Arroyo Beach,hexachlorobenzene,-1.380765646,ng/g,U,pesticide
47.50159,-122.38577,Arroyo Beach,indeno_123cd_pyrene,-3.001664447,ng/g,U,hmw
47.50159,-122.38577,Arroyo Beach,mirex,-1.380765646,ng/g,U,pesticide
47.50159,-122.38577,Arroyo Beach,naphthalene,8.404660453,ng/g,"U,B",lmw
47.50159,-122.38577,Arroyo Beach,nonachlor3,-1.380765646,ng/g,U,chlordane
47.50159,-122.38577,Arroyo Beach,opDDD,-1.380765646,ng/g,U,ddt
47.50159,-122.38577,Arroyo Beach,opDDE,-1.380765646,ng/g,U,ddt
47.50159,-122.38577,Arroyo Beach,opDDT,-1.380765646,ng/g,U,ddt
47.50159,-122.38577,Arroyo Beach,Oxychlordane,-1.380765646,ng/g,U,chlordane
47.50159,-122.38577,Arroyo Beach,PCB011,-1.380765646,ng/g,U,pcb
47.50159,-122.38577,Arroyo Beach,PCB017,-1.380765646,ng/g,U,pcb
47.50159,-122.38577,Arroyo Beach,PCB018,1.680932091,ng/g,"D,LOQ",pcb
47.50159,-122.38577,Arroyo Beach,PCB028,1.620898802,ng/g,"D,LOQ",pcb
47.50159,-122.38577,Arroyo Beach,PCB031,1.680932091,ng/g,"D,LOQ",pcb
47.50159,-122.38577,Arroyo Beach,PCB033,-1.320732357,ng/g,U,pcb
47.50159,-122.38577,Arroyo Beach,PCB044,-1.380765646,ng/g,U,pcb
47.50159,-122.38577,Arroyo Beach,PCB049,-1.380765646,ng/g,U,pcb
47.50159,-122.38577,Arroyo Beach,PCB052,1.560865513,ng/g,D,pcb
47.50159,-122.38577,Arroyo Beach,PCB066,-1.380765646,ng/g,U,pcb
47.50159,-122.38577,Arroyo Beach,PCB070,1.500832224,ng/g,"D,LOQ",pcb
47.50159,-122.38577,Arroyo Beach,PCB074,-1.380765646,ng/g,U,pcb
47.50159,-122.38577,Arroyo Beach,PCB082,-1.380765646,ng/g,U,pcb
47.50159,-122.38577,Arroyo Beach,PCB087,-1.320732357,ng/g,U,pcb
47.50159,-122.38577,Arroyo Beach,PCB095,1.680932091,ng/g,D,pcb
47.50159,-122.38577,Arroyo Beach,PCB099,1.560865513,ng/g,D,pcb
47.50159,-122.38577,Arroyo Beach,PCB101,3.061697736,ng/g,D,pcb
47.50159,-122.38577,Arroyo Beach,PCB105,1.740965379,ng/g,D,pcb
47.50159,-122.38577,Arroyo Beach,PCB110,2.821564581,ng/g,"D,B,LOQ",pcb
47.50159,-122.38577,Arroyo Beach,PCB118,3.361864181,ng/g,"D,B",pcb
47.50159,-122.38577,Arroyo Beach,PCB128,-1.380765646,ng/g,U,pcb
47.50159,-122.38577,Arroyo Beach,PCB138,5.042796272,ng/g,"D,B",pcb
47.50159,-122.38577,Arroyo Beach,PCB149,2.701498003,ng/g,D,pcb
47.50159,-122.38577,Arroyo Beach,PCB151,-1.380765646,ng/g,U,pcb
47.50159,-122.38577,Arroyo Beach,PCB153,4.922729694,ng/g,"D,B",pcb
47.50159,-122.38577,Arroyo Beach,PCB156,-1.380765646,ng/g,U,pcb
47.50159,-122.38577,Arroyo Beach,PCB158,-1.380765646,ng/g,U,pcb
47.50159,-122.38577,Arroyo Beach,PCB170,-1.380765646,ng/g,U,pcb
47.50159,-122.38577,Arroyo Beach,PCB171,-1.380765646,ng/g,U,pcb
47.50159,-122.38577,Arroyo Beach,PCB177,-1.380765646,ng/g,U,pcb
47.50159,-122.38577,Arroyo Beach,PCB180,-1.380765646,ng/g,U,pcb
47.50159,-122.38577,Arroyo Beach,PCB183,-1.380765646,ng/g,U,pcb
47.50159,-122.38577,Arroyo Beach,PCB187,-1.380765646,ng/g,U,pcb
47.50159,-122.38577,Arroyo Beach,PCB191,-1.380765646,ng/g,U,pcb
47.50159,-122.38577,Arroyo Beach,PCB194,-1.380765646,ng/g,U,pcb
47.50159,-122.38577,Arroyo Beach,PCB195,-1.380765646,ng/g,U,pcb
47.50159,-122.38577,Arroyo Beach,PCB198,-1.320732357,ng/g,U,pcb
47.50159,-122.38577,Arroyo Beach,PCB199,-1.380765646,ng/g,U,pcb
47.50159,-122.38577,Arroyo Beach,PCB205,-1.380765646,ng/g,U,pcb
47.50159,-122.38577,Arroyo Beach,PCB206,-1.320732357,ng/g,U,pcb
47.50159,-122.38577,Arroyo Beach,PCB208,-1.380765646,ng/g,U,pcb
47.50159,-122.38577,Arroyo Beach,PCB209,-1.380765646,ng/g,U,pcb
47.50159,-122.38577,Arroyo Beach,perylene,-3.001664447,ng/g,U,hmw
47.50159,-122.38577,Arroyo Beach,phenanthrene,30.61697736,ng/g,D,lmw
47.50159,-122.38577,Arroyo Beach,ppDDD,-1.380765646,ng/g,U,ddt
47.50159,-122.38577,Arroyo Beach,ppDDE,2.401331558,ng/g,D,ddt
47.50159,-122.38577,Arroyo Beach,ppDDT,-1.200665779,ng/g,U,ddt
47.50159,-122.38577,Arroyo Beach,pyrene,24.61364847,ng/g,D,hmw
47.50159,-122.38577,Arroyo Beach,Retene,42.02330226,ng/g,D,lmw
47.50159,-122.38577,Arroyo Beach,trans_Nonachlor,1.800998668,ng/g,D,chlordane
47.2758,-122.4174,Blair Waterway,1_7_dimethylphenanthrene,14.85194058,ng/g,D,lmw
47.2758,-122.4174,Blair Waterway,2_3_5_trimethylnaphthalene,-2.91538093,ng/g,U,lmw
47.2758,-122.4174,Blair Waterway,2_6_dimethylnaphthalene,4.56559655,ng/g,D,lmw
47.2758,-122.4174,Blair Waterway,2_methylnaphthalene,-3.630474365,ng/g,U,lmw
47.2758,-122.4174,Blair Waterway,3_methylphenanthrene,11.00143747,ng/g,D,lmw
47.2758,-122.4174,Blair Waterway,9_methylphenanthrene,8.251078103,ng/g,D,lmw
47.2758,-122.4174,Blair Waterway,acenaphthene,5.500718735,ng/g,D,lmw
47.2758,-122.4174,Blair Waterway,acenaphthylene,-2.91538093,ng/g,U,lmw
47.2758,-122.4174,Blair Waterway,aldrin,-1.155150934,ng/g,U,pesticide
47.2758,-122.4174,Blair Waterway,alpha_chlordane,1.320172496,ng/g,D,chlordane
47.2758,-122.4174,Blair Waterway,alpha_hexachlorocyclohexane,-1.100143747,ng/g,U,hch
47.2758,-122.4174,Blair Waterway,anthracene,6.050790609,ng/g,D,lmw
47.2758,-122.4174,Blair Waterway,BDE028,-1.320172496,ng/g,U,pbde
47.2758,-122.4174,Blair Waterway,BDE047,8.251078103,ng/g,D,pbde
47.2758,-122.4174,Blair Waterway,BDE049,-1.320172496,ng/g,U,pbde
47.2758,-122.4174,Blair Waterway,BDE066,-1.375179684,ng/g,U,pbde
47.2758,-122.4174,Blair Waterway,BDE085,-1.320172496,ng/g,U,pbde
47.2758,-122.4174,Blair Waterway,BDE099,6.050790609,ng/g,D,pbde
47.2758,-122.4174,Blair Waterway,BDE100,1.650215621,ng/g,D,pbde
47.2758,-122.4174,Blair Waterway,BDE153,-1.155150934,ng/g,U,pbde
47.2758,-122.4174,Blair Waterway,BDE154,-1.375179684,ng/g,U,pbde
47.2758,-122.4174,Blair Waterway,BDE155,-1.320172496,ng/g,U,pbde
47.2758,-122.4174,Blair Waterway,BDE183,-1.100143747,ng/g,U,pbde
47.2758,-122.4174,Blair Waterway,benz_a_anthracene,17.05222808,ng/g,D,hmw
47.2758,-122.4174,Blair Waterway,benzo_a_pyrene,2.91538093,ng/g,"D,LOQ",hmw
47.2758,-122.4174,Blair Waterway,benzo_b_fluoranthene,9.901293723,ng/g,D,hmw
47.2758,-122.4174,Blair Waterway,benzo_e_pyrene,12.10158122,ng/g,D,hmw
47.2758,-122.4174,Blair Waterway,benzo_ghi_perylene,2.91538093,ng/g,"D,LOQ",hmw
47.2758,-122.4174,Blair Waterway,benzo_k_fluoranthene,10.4513656,ng/g,D,hmw
47.2758,-122.4174,Blair Waterway,beta_chlordane,1.650215621,ng/g,D,chlordane
47.2758,-122.4174,Blair Waterway,beta_hexachlorocyclohexane,0.880114998,ng/g,D,hch
47.2758,-122.4174,Blair Waterway,Br5DE04,-1.320172496,ng/g,U,pbde_congener
47.2758,-122.4174,Blair Waterway,Br5DE05,-1.320172496,ng/g,U,pbde_congener
47.2758,-122.4174,Blair Waterway,Br6DE01,-1.375179684,ng/g,U,pbde_congener
47.2758,-122.4174,Blair Waterway,Br7DE01,-1.100143747,ng/g,U,pbde_congener
