latitude,longitude,site_name,p450,sod,ci1,ci2,ci3,shell,site_number,reporting_area,km4,km5,hc4,hc5,p16,p42,plmw,phmw,pcb,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20
47.2619,-122.7376,Pennrose Point State Park,7562838.75,4.423,0.02625,0.6765,0.06475,0.8575,50,13,1,3,1,1,2,2,2,2,4,-1.122216243,-0.990190802,-1.122216243,-1.122216243,-0.924178082,-1.122216243,1.452279843,-1.122216243,-1.122216243,-1.122216243,-1.122216243,-0.607317025,-1.122216243,-1.122216243,-1.122216243,-0.924178082
47.3062,-122.5145,Point Defiance Ferry,2116286.75,6.454,0.03675,0.71425,0.05475,0.83875,43,11,1,2,1,1,5,4,4,5,4,-1.158039962,-1.042235966,-1.158039962,-1.158039962,-0.92643197,-1.158039962,2.200275928,-1.158039962,-1.158039962,-1.158039962,-1.158039962,-0.636921979,-1.158039962,-1.158039962,-1.158039962,-0.92643197
48.12823,-123.45715,Port Angeles Yacht Club,5668182.167,7.99825,1.824166667,0.734333333,2.625333333,0.800833333,1,6,3,5,3,5,5,5,5,6,5,-1.382371134,-1.262164948,-1.442474227,-1.382371134,-1.141958763,-1.382371134,-1.442474227,-1.382371134,-1.442474227,-1.382371134,-1.382371134,-0.781340206,-1.382371134,-1.382371134,-1.442474227,-1.141958763
47.38566,-122.627255,Purdy - Dexters,4578794.25,1.760875,0.034,0.679,0.049,0.84375,57,13,1,2,1,1,2,1,1,1,2,-1.089991813,-0.975255833,-1.089991813,-1.089991813,-0.917887843,-1.089991813,1.434199754,-1.089991813,-1.089991813,-1.089991813,-1.089991813,-0.631047892,-1.089991813,-1.089991813,-1.089991813,-0.917887843
47.386977,-122.6367089,"Purdy, Burley Lagoon",3937235,10.05025,0.03275,0.69325,0.053,0.915,47,13,1,2,1,1,2,2,2,2,4,-1.046332197,-0.923234291,-1.046332197,-1.046332197,-0.861685339,-1.046332197,1.600272772,-1.046332197,-1.046332197,-1.046332197,1.10788115,-0.578560156,-1.046332197,-1.046332197,-1.046332197,-0.861685339
47.32598,-122.66724,Raft Island Park,4185580.75,3.778125,0.0355,0.7245,0.0525,0.65375,53,13,1,3,1,1,2,1,1,2,2,-1.336773619,-1.1257041,-1.336773619,-1.266417112,-1.055347594,-1.336773619,-1.336773619,-1.336773619,-1.336773619,-1.336773619,-1.266417112,-0.703565062,-1.336773619,-1.336773619,-1.336773619,-1.055347594
47.346537,-122.82236,Reach Island,5721095,4.58375,0.03225,0.6665,0.054,0.77,39,13,1,3,1,1,2,2,2,2,1,-1.459528689,-1.284385246,-1.459528689,-1.459528689,-1.167622951,-1.459528689,-1.459528689,-1.459528689,-1.459528689,-1.459528689,-1.401147541,-0.817336066,-1.459528689,-1.459528689,-1.459528689,-1.167622951
47.578117,-122.524833,Rich Passage,5061124.75,2.31975,0.03475,0.71225,0.0535,0.81,32,10,4,1,2,2,3,3,3,3,4,-0.8919967,-0.773063806,-0.8919967,-0.8919967,-0.71359736,-0.8919967,2.081325633,-0.8919967,-0.8919967,-0.8919967,1.129862486,-0.493571507,-0.8919967,-0.8919967,-0.8919967,-0.71359736
47.60255,-122.66992,Rocky Point,9469801.25,9.8955,0.034,0.71425,0.0615,0.68875,27,10,4,1,2,2,3,3,3,3,5,-1.217726161,-1.095953545,-1.217726161,-1.217726161,-1.035067237,-1.217726161,1.88747555,-1.217726161,-1.278612469,-1.217726161,-1.217726161,0.730635697,-1.217726161,-1.217726161,-1.217726161,-1.035067237
48.02667,-122.75076,S of Skunk Island,4092598.333,10.11125,0.034,0.71075,0.0585,0.78625,9,9,3,5,3,3,3,2,2,3,1,-1.561507644,-1.381333685,-1.561507644,-1.561507644,-1.261217712,-1.561507644,-1.561507644,-1.561507644,-1.561507644,-1.561507644,-1.561507644,-0.840811808,-1.561507644,-1.561507644,-1.561507644,-1.261217712
47.6663,-122.4018,"Salmon Bay, Commodore Park",4444677.5,3.79425,0.03425,0.71825,0.05725,0.7075,16,10,4,1,2,2,5,5,5,6,5,-1.562647059,-1.413823529,-1.562647059,-1.562647059,-1.265,-1.562647059,4.315882353,-1.562647059,-1.562647059,-1.562647059,3.274117647,2.157941176,-1.562647059,-1.562647059,-1.562647059,-1.265
47.29464,-122.53053,Salmon Beach,1550935.333,7.299625,0.03325,0.684,0.054,0.86375,40,11,1,2,1,1,4,4,3,5,3,-1.547930368,-1.369323017,-1.547930368,-1.547930368,-1.250251451,-1.547930368,1.786073501,-1.547930368,-1.547930368,-1.547930368,-1.488394584,-0.833500967,-1.547930368,-1.547930368,-1.547930368,-1.250251451
47.607,-122.342,"Seattle Aquarium, Pier 59",3037049.5,15.6175,0.0365,0.704,0.05075,0.8425,17,10,4,1,2,2,5,5,5,6,5,-1.166456693,-1.036850394,-1.166456693,-1.166456693,-0.972047244,-1.166456693,3.175354331,-1.166456693,-1.166456693,-1.166456693,2.073700787,1.555275591,-1.166456693,-1.166456693,-1.166456693,-0.972047244
47.671678,-122.406663,Shilshole Bay,2710238.75,9.90675,0.03225,0.7285,0.053,0.55625,18,10,4,1,2,2,5,5,5,6,5,-1.653770492,-1.428256334,-1.653770492,-1.578599106,-1.277913562,-1.578599106,4.359940387,-1.653770492,-1.653770492,-1.653770492,3.38271237,-0.902056632,-1.653770492,-1.653770492,-1.653770492,-1.277913562
47.6427936,-122.6967068,"Silverdale, Dyes Inlet",1419996,28.254,0.0345,0.698,0.05875,0.6875,35,10,4,1,2,2,3,3,3,4,5,-1.233733032,-1.096651584,-1.233733032,-1.233733032,-1.02811086,-1.233733032,2.467466063,-1.233733032,-1.233733032,-1.233733032,1.644977376,0.822488688,-1.233733032,-1.233733032,-1.233733032,-1.02811086
47.66142,-122.49884,Skiff Point,5612257.75,4.779,0.0335,0.70725,0.053,0.55875,24,10,4,1,2,2,4,4,4,4,1,-2.19020462,-1.953425743,-2.19020462,-2.19020462,-1.775841584,-2.19020462,-2.19020462,-2.19020462,-2.19020462,-2.19020462,-2.19020462,-1.183894389,-2.19020462,-2.19020462,-2.19020462,-1.775841584
47.63237,-122.37869,"Smith Cove, Terminal 91",3958466.25,7.5955,0.03575,0.701,0.06275,0.74,15,10,4,1,2,2,5,5,5,6,5,1.755804369,-0.975446872,-1.105506455,-1.105506455,-0.91041708,-1.105506455,11.05506455,-1.105506455,-1.105506455,-1.105506455,6.502979146,2.145983118,-1.105506455,-1.105506455,-1.105506455,-0.91041708
47.17650485,-122.9046464,Squaxin Island,6185908.75,6.574125,0.03475,0.68175,0.055,0.85625,38,13,1,3,1,1,2,2,1,2,2,-1.359455056,-1.165247191,-1.359455056,-1.294719101,-1.100511236,-1.359455056,-1.359455056,-1.359455056,-1.359455056,-1.359455056,-1.294719101,-0.712095506,-1.359455056,-1.359455056,-1.359455056,-1.100511236
47.7296079,-122.5506191,Suquamish Stormwater Outfall,3575218.5,5.81925,0.02825,0.665,0.0595,1.02125,34,10,4,1,2,2,4,4,4,4,4,-0.902177419,-0.773294931,-0.902177419,-0.902177419,-0.708853687,-0.902177419,2.062119816,-0.902177419,-0.902177419,-0.902177419,1.095501152,-0.483309332,-0.902177419,-0.902177419,-0.902177419,-0.708853687
47.259189,-122.434689,Thea Foss Waterway,3660950,11.7874,0.0292,0.6148,0.0448,0.897,46,11,1,2,1,1,5,5,5,6,5,-1.427922465,-1.233205765,-1.427922465,-1.363016899,-1.168300199,-1.427922465,3.959239563,-1.427922465,-1.427922465,-1.427922465,2.661128231,1.233205765,-1.427922465,-1.427922465,-1.427922465,-1.168300199
47.44896,-122.372267,Three Tree Point,7868514.75,7.91575,0.03475,0.7265,0.0605,0.8125,22,11,4,2,1,1,3,3,3,3,3,-1.354965209,-1.178230616,-1.354965209,-1.354965209,-1.060407555,-1.354965209,2.827753479,-1.354965209,-1.354965209,-1.354965209,1.531699801,-0.70693837,-1.354965209,-1.354965209,-1.354965209,-1.060407555
48.0617,-122.2939,Tulalip Bay,5438866.5,6.253833333,0.033833333,0.709333333,0.054666667,0.874166667,67,8.2,4,1,2,2,4,3,3,4,2,-1.297788235,-1.168009412,-1.297788235,-1.297788235,-1.038230588,-1.297788235,1.752014118,-1.297788235,-1.297788235,-1.297788235,-1.297788235,-0.713783529,-1.297788235,-1.297788235,-1.297788235,-1.038230588
48.0697859,-122.2997764,Tulalip Reservation,5097254.75,3.952125,0.03225,0.68925,0.049,0.78375,70,8.2,4,1,2,2,3,2,2,3,1,-1.00217161,-0.884269068,-1.00217161,-1.00217161,-0.825317797,-1.00217161,1.061122881,-1.00217161,-1.061122881,-1.00217161,-1.00217161,-0.560037076,-1.00217161,-1.00217161,-1.00217161,-0.825317797
