"latitude","longitude","site_name","qualifier","site","flagged","PCB101","PCB105","PCB011","PCB110","PCB118","PCB128","PCB138","PCB149","PCB151","PCB153","PCB156","PCB158","PCB017","PCB170","PCB171","PCB177","PCB018","PCB180","PCB183","PCB187","PCB191","PCB194","PCB195","PCB198","PCB199","PCB205","PCB206","PCB208","PCB209","PCB028","PCB031","PCB033","PCB044","PCB049","PCB052","PCB066","PCB070","PCB074","PCB082","PCB087","PCB095","PCB099"
48.04887,-122.7711,"Chimacum Creek delta","D,B,LOQ","Chimacum Creek delta",TRUE,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48.04887,-122.7711,"Chimacum Creek delta","D,B","Chimacum Creek delta",TRUE,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48.04887,-122.7711,"Chimacum Creek delta","D,LOQ","Chimacum Creek delta",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48.691084,-122.504012,"Chuckanut, Clark's Point","D","Chuckanut, Clark's Point",FALSE,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48.691084,-122.504012,"Chuckanut, Clark's Point","D,LOQ","Chuckanut, Clark's Point",FALSE,NA,0.26,NA,NA,NA,NA,NA,0.24,NA,NA,NA,NA,NA,NA,NA,NA,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.33,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48.691084,-122.504012,"Chuckanut, Clark's Point","U","Chuckanut, Clark's Point",TRUE,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
48.691084,-122.504012,"Chuckanut, Clark's Point","D,B,LOQ","Chuckanut, Clark's Point",TRUE,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48.691084,-122.504012,"Chuckanut, Clark's Point","D,B","Chuckanut, Clark's Point",TRUE,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47.28915,-122.4096,"Comm Bay Skookum","D","Commencement Bay Skookum",FALSE,0.83,0.41,NA,NA,NA,NA,NA,0.64,NA,NA,NA,NA,NA,NA,NA,NA,0.36,0.26,NA,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,0.45,NA,0.37,0.25,0.53,0.38,0.55,NA,NA,0.29,0.51,0.42
47.28915,-122.4096,"Comm Bay Skookum","U","Commencement Bay Skookum",TRUE,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
