sample_id,site_number,latitude,longitude,p450,sod,shell,ci1,ci2,ci3,site_name,reporting_area,km4,km5,hc4,hc5,p16,p42,phmw,plmw,pcb,p450_outlier,sod_outlier,ci1_outlier,ci2_outlier,ci3_outlier,shell_outlier
80,17,47.607,-122.342,4563731,1.736,0.905,0.037,0.691,0.049,"Seattle Aquarium, Pier 59",10,4,1,2,2,5,5,6,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
81,17,47.607,-122.342,2492093,0.918,0.805,0.038,0.724,0.053,"Seattle Aquarium, Pier 59",10,4,1,2,2,5,5,6,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
82,2,48.024789,-122.998135,2974825,7.943,0.58,0.037,0.723,0.054,Jamestown,6,3,5,3,3,1,1,1,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
83,2,48.024789,-122.998135,4846845,12.472,0.615,0.035,0.689,0.062,Jamestown,6,3,5,3,3,1,1,1,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
84,2,48.024789,-122.998135,2235572,8.018,0.545,0.033,0.694,0.054,Jamestown,6,3,5,3,3,1,1,1,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
85,2,48.024789,-122.998135,3342765,5.417,0.45,0.034,0.717,0.059,Jamestown,6,3,5,3,3,1,1,1,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
86,2,48.024789,-122.998135,2775717,5.625,0.61,0.026,0.663,0.04,Jamestown,6,3,5,3,3,1,1,1,1,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
87,2,48.024789,-122.998135,2874750,7.041,0.64,0.038,0.735,0.06,Jamestown,6,3,5,3,3,1,1,1,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
88,10,48.02218,-122.728709,2227398,12.533,0.81,0.037,0.672,0.064,Oak Bay County Park,9,3,5,3,3,1,1,1,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
89,10,48.02218,-122.728709,3074511,7.395,0.8,0.038,0.705,0.055,Oak Bay County Park,9,3,5,3,3,1,1,1,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
90,10,48.02218,-122.728709,2424308,25.051,0.75,0.036,0.721,0.06,Oak Bay County Park,9,3,5,3,3,1,1,1,1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
91,10,48.02218,-122.728709,1614686,2.379,0.735,0.027,0.64,0.045,Oak Bay County Park,9,3,5,3,3,1,1,1,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
92,15,47.63237,-122.37869,2166611,5.577,0.81,0.041,0.725,0.065,"Smith Cove, Terminal 91",10,4,1,2,2,5,5,6,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
