Individual ,Valve,notch,top,opp,bottom
261,L,0.33,0.16,0.43,1.74
261,R,0.26,0.14,0.12,1.69
262,L,0.24,0.12,0.21,1.6
262,R,0.35,0.09,0.23,1.72
263,L,0.21,0.21,0.27,1.66
263,R,0.17,0.25,0.33,1.67
264,L,0.24,0.17,0.54,1.63
264,R,0.21,0.32,0.28,1.76
265,L,0.16,0.1,0.36,1.96
265,R,0.12,0.28,0.43,2.61
266,L,0.17,0.16,0.54,1.7
266,R,0.25,0.09,0.37,1.81
267,L,0.23,0.05,0.45,2.05
267,R,0.12,0.12,0.41,2.1
268,L,0.25,0.41,0.54,2.19
268,R,0.26,0.44,0.3,2.41
269,L,0.2,0.11,0.34,1.86
269,R,0.15,0.14,0.28,2.06
270,L,0.21,0.07,0.36,1.75
270,R,0.41,0.1,0.21,1.37
271,L,0.28,0.23,0.44,2.32
271,R,0.21,0.19,0.45,2.18
272,L,0.38,0.19,0.38,1.63
272,R,0.28,0.16,0.49,1.73
273,L,0.4,0.29,0.26,1.62
273,R,0.15,0.28,0.31,1.94
274,L,0.41,0.12,0.46,2.36
274,R,0.24,0.55,0.54,2.09
275,L,0.3,0.2,0.55,2.25
275,R,0.35,0.16,0.38,1.92
276,L,0.3,0.69,0.72,1.8
276,R,0.33,0.24,0.46,1.93
277,L,0.29,0.64,0.35,1.55
277,R,0.25,0.46,0.45,1.83
278,L,0.32,0.42,0.44,1.72
278,R,0.28,0.45,0.56,1.91
279,L,0.6,0.55,0.47,2.13
279,R,0.56,0.52,0.48,2.3
280,L,0.48,0.6,0.51,1.46
280,R,0.53,0.57,0.49,1.78
281,L,0.39,0.34,0.35,2.59
281,R,0.33,0.24,0.59,2.52
282,L,0.52,0.43,0.83,2.18
282,R,0.38,0.33,0.71,2.35
283,L,0.65,0.3,0.67,1.81
283,R,0.45,0.28,0.77,1.92
284,L,0.31,0.45,0.63,2.22
284,R,0.42,0.32,0.84,2.44
285,L,0.37,0.28,0.56,2.24
285,R,0.23,0.29,0.52,2.52
286,L,0.37,0.32,0.38,1.44
286,R,0.34,0.43,0.47,1.4
287,L,0.66,0.11,0.41,1.58
287,R,0.35,0.12,0.35,1.78
288,L,0.41,0.4,0.51,1.93
288,R,0.4,0.26,0.52,1.95
289,L,0.49,0.11,0.36,1.86
289,R,0.4,0.13,0.43,1.98
290,L,0.18,0.22,0.39,1.75
290,R,0.18,0.28,0.38,1.7
291,L,0.21,0.09,0.07,1.8
291,R,0.25,0.09,0.21,1.78
292,L,0.4,0.21,0.38,1.34
292,R,0.3,0.13,0.32,1.54
293,L,0.28,0.48,0.21,1.08
293,R,0.28,0.32,0.2,1.26
294,L,0.25,0.16,0.33,1.35
294,R,0.22,0.13,0.29,1.89
295,L,0.36,0.17,0.54,1.52
295,R,0.41,0.18,0.48,1.9
296,L,0.24,0.1,0.46,1.64
296,R,0.3,0.04,0.36,1.63
297,L,0.46,0.26,0.4,1.84
297,R,0.38,0.25,0.31,2.05
298,L,0.41,0.39,0.42,1.55
298,R,0.45,0.39,0.46,1.69
299,L,0.29,0.19,0.32,1.71
299,R,0.28,0.13,0.4,1.95
300,L,0.35,0.26,0.47,1.85
300,R,0.44,0.38,0.44,1.83
301,L,0.33,0.39,0.86,1.84
301,R,0.37,0.27,0.66,1.68
302,L,0.47,0.31,0.61,1.96
302,R,0.26,0.35,0.45,1.87
303,L,0.39,0.29,0.69,1.57
303,R,0.33,0.29,0.53,1.84
304,L,0.24,0.2,0.59,1.7
304,R,0.33,0.27,0.33,2.15
305,L,0.36,0.19,0.31,2.5
305,R,0.28,0.09,0.55,2.54
306,L,0.35,0.27,0.47,1.98
306,R,0.29,0.2,0.31,2.09
307,L,0.31,0.16,0.41,1.6
307,R,0.25,0.1,0.33,1.71
308,L,0.35,0.18,0.36,1.87
308,R,0.33,0.29,0.47,1.8
309,L,0.48,0.36,0.75,2.03
309,R,0.47,0.24,0.64,2.22
310,L,0.35,0.53,0.31,1.54
310,R,0.35,0.5,0.39,1.59
311,L,0.32,0.15,0.29,1.79
311,R,0.24,0.18,0.44,1.47
312,L,0.4,0.16,0.5,1.75
312,R,0.27,0.12,0.36,1.83
