"","X","sample_id","latitude","longitude","lat_range.x","long_range.x","label.x","site_name","site_number","reporting_area","geo_group","p16.x","p42.x","plmw.x","phmw.x","pcb.x","p450","sod","shell","ci1","ci2","ci3","geo","lat_range.y","long_range.y","label.y","Analyte.x","Units.x","DryValue.x","Comments.x","pcb.y","DryValue_Group.x","Analyte.y","Units.y","DryValue.y","Comments.y","p16.y","DryValue_Group.y","Analyte.x.x","Units.x.x","DryValue.x.x","Comments.x.x","p42.y","Analyte.y.y","Units.y.y","DryValue.y.y","Comments.y.y","phmw.y","DryValue_Group.x.x","Analyte.x.x.x","Units.x.x.x","plmw.y","Comments.x.x.x","DryValue_Group.y.y","Analyte.y.y.y","Units.y.y.y","DryValue.x.x.x","Comments.y.y.y","phmw","DryValue_Group","Analyte","Units","DryValue.y.y.y","Comments","p42"
"33",33,33,48.8208,-122.7101,"48.48 - 48.82",-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Cherry Point Aquatic Reserve, Conoco Phillips",75,7,4,1,2,2,1,1,4058830,3.411,0.705,0.034,0.656,0.049,"4","48.26 - 48.82","-123.02 - -122.5","Group 4
Lat: 48.26 - 48.82
Long: -123.02 - -122.5","Sum40CBs","ng/g",30.1834098,NA,2,"2","SumPAHs16","ng/g",126.770321,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",325.9808253,NA,2,"SumPAHsHMW","ng/g",150.9170488,NA,1,"1","SumPAHsLMW","ng/g",169.0270946,NA,"1","SumPAHsHMW","ng/g",150.9170488,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",325.9808253,NA,2
"34",34,34,48.8208,-122.7101,"48.48 - 48.82",-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Cherry Point Aquatic Reserve, Conoco Phillips",75,7,4,1,2,2,1,1,2992400,9.761,0.86,0.035,0.667,0.045,"4","48.26 - 48.82","-123.02 - -122.5","Group 4
Lat: 48.26 - 48.82
Long: -123.02 - -122.5","Sum40CBs","ng/g",30.1834098,NA,2,"2","SumPAHs16","ng/g",126.770321,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",325.9808253,NA,2,"SumPAHsHMW","ng/g",150.9170488,NA,1,"1","SumPAHsLMW","ng/g",169.0270946,NA,"1","SumPAHsHMW","ng/g",150.9170488,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",325.9808253,NA,2
"35",35,35,48.8208,-122.7101,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Cherry Point Aquatic Reserve, Conoco Phillips",75,7,5,1,1,1,1,2,3977529,0.821,0.935,0.035,0.676,0.057,"4","48.26 - 48.82","-123.02 - -122.5","Group 4
Lat: 48.26 - 48.82
Long: -123.02 - -122.5","Sum40CBs","ng/g",30.1834098,NA,2,"2","SumPAHs16","ng/g",126.770321,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",325.9808253,NA,2,"SumPAHsHMW","ng/g",150.9170488,NA,1,"1","SumPAHsLMW","ng/g",169.0270946,NA,"1","SumPAHsHMW","ng/g",150.9170488,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",325.9808253,NA,2
"36",36,36,48.8208,-122.7101,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Cherry Point Aquatic Reserve, Conoco Phillips",75,7,5,1,1,1,1,2,3836041,1.463,0.975,0.034,0.627,0.051,"4","48.26 - 48.82","-123.02 - -122.5","Group 4
Lat: 48.26 - 48.82
Long: -123.02 - -122.5","Sum40CBs","ng/g",30.1834098,NA,2,"2","SumPAHs16","ng/g",126.770321,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",325.9808253,NA,2,"SumPAHsHMW","ng/g",150.9170488,NA,1,"1","SumPAHsLMW","ng/g",169.0270946,NA,"1","SumPAHsHMW","ng/g",150.9170488,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",325.9808253,NA,2
"37",37,37,47.29,-122.41,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Comm Bay Skookum",45,11,5,1,1,1,1,2,6405636,7.884,0.695,0.032,0.661,0.055,"5","47.19 - 47.5","-122.64 - -122.33","Group 5
Lat: 47.19 - 47.5
Long: -122.64 - -122.33","Sum40CBs","ng/g",72.5424453,NA,5,"4","SumPAHs16","ng/g",342.9279231,NA,3,"2","SumPAHs42_DMNcorrected","ng/g",857.3198078,NA,3,"SumPAHsHMW","ng/g",369.3069941,NA,2,"2","SumPAHsLMW","ng/g",461.6337427,NA,"2","SumPAHsHMW","ng/g",369.3069941,NA,2,"2","SumPAHs42_DMNcorrected","ng/g",857.3198078,NA,3
"38",38,38,47.29,-122.41,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Comm Bay Skookum",45,11,5,1,1,1,1,2,6222160,4.124,0.8,0.033,0.658,0.054,"5","47.19 - 47.5","-122.64 - -122.33","Group 5
Lat: 47.19 - 47.5
Long: -122.64 - -122.33","Sum40CBs","ng/g",72.5424453,NA,5,"4","SumPAHs16","ng/g",342.9279231,NA,3,"2","SumPAHs42_DMNcorrected","ng/g",857.3198078,NA,3,"SumPAHsHMW","ng/g",369.3069941,NA,2,"2","SumPAHsLMW","ng/g",461.6337427,NA,"2","SumPAHsHMW","ng/g",369.3069941,NA,2,"2","SumPAHs42_DMNcorrected","ng/g",857.3198078,NA,3
"39",39,39,47.29,-122.41,"48.48 - 48.82",-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Comm Bay Skookum",45,11,4,1,2,2,1,2,NA,17.324,0.66,0.033,0.686,0.05,"5","47.19 - 47.5","-122.64 - -122.33","Group 5
Lat: 47.19 - 47.5
Long: -122.64 - -122.33","Sum40CBs","ng/g",72.5424453,NA,5,"4","SumPAHs16","ng/g",342.9279231,NA,3,"2","SumPAHs42_DMNcorrected","ng/g",857.3198078,NA,3,"SumPAHsHMW","ng/g",369.3069941,NA,2,"2","SumPAHsLMW","ng/g",461.6337427,NA,"2","SumPAHsHMW","ng/g",369.3069941,NA,2,"2","SumPAHs42_DMNcorrected","ng/g",857.3198078,NA,3
"40",40,40,47.29,-122.41,"48.48 - 48.82",-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Comm Bay Skookum",45,11,4,1,2,2,1,2,4652774,6.966,0.865,0.032,0.664,0.053,"5","47.19 - 47.5","-122.64 - -122.33","Group 5
Lat: 47.19 - 47.5
Long: -122.64 - -122.33","Sum40CBs","ng/g",72.5424453,NA,5,"4","SumPAHs16","ng/g",342.9279231,NA,3,"2","SumPAHs42_DMNcorrected","ng/g",857.3198078,NA,3,"SumPAHsHMW","ng/g",369.3069941,NA,2,"2","SumPAHsLMW","ng/g",461.6337427,NA,"2","SumPAHsHMW","ng/g",369.3069941,NA,2,"2","SumPAHs42_DMNcorrected","ng/g",857.3198078,NA,3
"41",41,41,48.21423,-122.718972,"48.48 - 48.82",-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Penn Cove Reference",3,8.1,4,1,2,2,1,2,1820616,3.648,0.545,0.036,0.727,0.06,"2","47.78 - 48.21","-123.46 - -122.7","Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7","Sum40CBs","ng/g",24.8711427,NA,1,"1","SumPAHs16","ng/g",64.37236927,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",160.9309232,NA,1,"SumPAHsHMW","ng/g",46.81626856,NA,1,"1","SumPAHsLMW","ng/g",109.7256294,NA,"1","SumPAHsHMW","ng/g",46.81626856,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",160.9309232,NA,1
"42",42,42,48.21423,-122.718972,"48.48 - 48.82",-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Penn Cove Reference",3,8.1,4,1,2,2,1,2,3013775,9.556,0.645,0.033,0.686,0.049,"2","47.78 - 48.21","-123.46 - -122.7","Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7","Sum40CBs","ng/g",24.8711427,NA,1,"1","SumPAHs16","ng/g",64.37236927,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",160.9309232,NA,1,"SumPAHsHMW","ng/g",46.81626856,NA,1,"1","SumPAHsLMW","ng/g",109.7256294,NA,"1","SumPAHsHMW","ng/g",46.81626856,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",160.9309232,NA,1
"43",43,43,48.21423,-122.718972,"47.78 - 48.21",-0.76,"Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7","Penn Cove Reference",3,8.1,2,1,1,1,1,1,956165,20.28,0.6,0.032,0.71,0.059,"2","47.78 - 48.21","-123.46 - -122.7","Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7","Sum40CBs","ng/g",24.8711427,NA,1,"1","SumPAHs16","ng/g",64.37236927,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",160.9309232,NA,1,"SumPAHsHMW","ng/g",46.81626856,NA,1,"1","SumPAHsLMW","ng/g",109.7256294,NA,"1","SumPAHsHMW","ng/g",46.81626856,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",160.9309232,NA,1
"44",44,44,48.21423,-122.718972,"47.78 - 48.21",-0.76,"Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7","Penn Cove Reference",3,8.1,2,1,1,1,1,1,3372681,16.888,0.635,0.033,0.692,0.062,"2","47.78 - 48.21","-123.46 - -122.7","Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7","Sum40CBs","ng/g",24.8711427,NA,1,"1","SumPAHs16","ng/g",64.37236927,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",160.9309232,NA,1,"SumPAHsHMW","ng/g",46.81626856,NA,1,"1","SumPAHsLMW","ng/g",109.7256294,NA,"1","SumPAHsHMW","ng/g",46.81626856,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",160.9309232,NA,1
"45",45,45,47.6427936,-122.6967068,"47.78 - 48.21",-0.76,"Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7","Silverdale, Dyes Inlet",35,10,2,1,1,1,1,1,958897,11.048,0.805,0.033,0.69,0.057,"3","47.54 - 48.07","-122.7 - -122.23","Group 3
Lat: 47.54 - 48.07
Long: -122.7 - -122.23","Sum40CBs","ng/g",68.540724,NA,5,"4","SumPAHs16","ng/g",137.081448,NA,2,"1","SumPAHs42_DMNcorrected","ng/g",370.1199095,NA,2,"SumPAHsHMW","ng/g",150.7895928,NA,1,"1","SumPAHsLMW","ng/g",212.4762443,NA,"1","SumPAHsHMW","ng/g",150.7895928,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",370.1199095,NA,2
"46",46,46,47.6427936,-122.6967068,"47.78 - 48.21",-0.76,"Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7","Silverdale, Dyes Inlet",35,10,2,1,1,1,1,1,1900324,11.66,0.65,0.034,0.699,0.068,"3","47.54 - 48.07","-122.7 - -122.23","Group 3
Lat: 47.54 - 48.07
Long: -122.7 - -122.23","Sum40CBs","ng/g",68.540724,NA,5,"4","SumPAHs16","ng/g",137.081448,NA,2,"1","SumPAHs42_DMNcorrected","ng/g",370.1199095,NA,2,"SumPAHsHMW","ng/g",150.7895928,NA,1,"1","SumPAHsLMW","ng/g",212.4762443,NA,"1","SumPAHsHMW","ng/g",150.7895928,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",370.1199095,NA,2
"47",47,47,47.6427936,-122.6967068,"48.48 - 48.82",-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Silverdale, Dyes Inlet",35,10,4,1,1,1,1,1,1494268,16.963,0.635,0.034,0.698,0.048,"3","47.54 - 48.07","-122.7 - -122.23","Group 3
Lat: 47.54 - 48.07
Long: -122.7 - -122.23","Sum40CBs","ng/g",68.540724,NA,5,"4","SumPAHs16","ng/g",137.081448,NA,2,"1","SumPAHs42_DMNcorrected","ng/g",370.1199095,NA,2,"SumPAHsHMW","ng/g",150.7895928,NA,1,"1","SumPAHsLMW","ng/g",212.4762443,NA,"1","SumPAHsHMW","ng/g",150.7895928,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",370.1199095,NA,2
"48",48,48,47.6427936,-122.6967068,"48.48 - 48.82",-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Silverdale, Dyes Inlet",35,10,4,1,1,1,1,1,1326495,73.345,0.66,0.037,0.705,0.062,"3","47.54 - 48.07","-122.7 - -122.23","Group 3
Lat: 47.54 - 48.07
Long: -122.7 - -122.23","Sum40CBs","ng/g",68.540724,NA,5,"4","SumPAHs16","ng/g",137.081448,NA,2,"1","SumPAHs42_DMNcorrected","ng/g",370.1199095,NA,2,"SumPAHsHMW","ng/g",150.7895928,NA,1,"1","SumPAHsLMW","ng/g",212.4762443,NA,"1","SumPAHsHMW","ng/g",150.7895928,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",370.1199095,NA,2
"49",49,49,48.69368,-122.90985,"48.48 - 48.82",-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Eastsound, Fishing Bay",60,7,4,1,1,1,1,1,5588536,0.00354,0.355,0.032,0.688,0.047,"4","48.26 - 48.82","-123.02 - -122.5","Group 4
Lat: 48.26 - 48.82
Long: -123.02 - -122.5","Sum40CBs","ng/g",15.9810544,NA,1,"1","SumPAHs16","ng/g",292.0675453,NA,3,"1","SumPAHs42_DMNcorrected","ng/g",518.0065898,NA,2,"SumPAHsHMW","ng/g",270.0247117,"dNPH Surrogate recovery below minimum QA value (60%)",2,"2","SumPAHsLMW","ng/g",242.4711697,"dNPH Surrogate recovery below minimum QA value (60%)","1","SumPAHsHMW","ng/g",270.0247117,"dNPH Surrogate recovery below minimum QA value (60%)",2,"2","SumPAHs42_DMNcorrected","ng/g",518.0065898,NA,2
"50",50,50,48.69368,-122.90985,"48.48 - 48.82",-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Eastsound, Fishing Bay",60,7,4,1,1,1,1,1,420155,9.767,0.405,0.033,0.703,0.048,"4","48.26 - 48.82","-123.02 - -122.5","Group 4
Lat: 48.26 - 48.82
Long: -123.02 - -122.5","Sum40CBs","ng/g",15.9810544,NA,1,"1","SumPAHs16","ng/g",292.0675453,NA,3,"1","SumPAHs42_DMNcorrected","ng/g",518.0065898,NA,2,"SumPAHsHMW","ng/g",270.0247117,"dNPH Surrogate recovery below minimum QA value (60%)",2,"2","SumPAHsLMW","ng/g",242.4711697,"dNPH Surrogate recovery below minimum QA value (60%)","1","SumPAHsHMW","ng/g",270.0247117,"dNPH Surrogate recovery below minimum QA value (60%)",2,"2","SumPAHs42_DMNcorrected","ng/g",518.0065898,NA,2
"51",51,51,48.69368,-122.90985,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Eastsound, Fishing Bay",60,7,5,3,3,3,2,5,5289198,12.773,0.58,0.03,0.673,0.051,"4","48.26 - 48.82","-123.02 - -122.5","Group 4
Lat: 48.26 - 48.82
Long: -123.02 - -122.5","Sum40CBs","ng/g",15.9810544,NA,1,"1","SumPAHs16","ng/g",292.0675453,NA,3,"1","SumPAHs42_DMNcorrected","ng/g",518.0065898,NA,2,"SumPAHsHMW","ng/g",270.0247117,"dNPH Surrogate recovery below minimum QA value (60%)",2,"2","SumPAHsLMW","ng/g",242.4711697,"dNPH Surrogate recovery below minimum QA value (60%)","1","SumPAHsHMW","ng/g",270.0247117,"dNPH Surrogate recovery below minimum QA value (60%)",2,"2","SumPAHs42_DMNcorrected","ng/g",518.0065898,NA,2
"52",52,52,48.69368,-122.90985,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Eastsound, Fishing Bay",60,7,5,3,3,3,2,5,776433,8.385,0.52,0.034,0.675,0.052,"4","48.26 - 48.82","-123.02 - -122.5","Group 4
Lat: 48.26 - 48.82
Long: -123.02 - -122.5","Sum40CBs","ng/g",15.9810544,NA,1,"1","SumPAHs16","ng/g",292.0675453,NA,3,"1","SumPAHs42_DMNcorrected","ng/g",518.0065898,NA,2,"SumPAHsHMW","ng/g",270.0247117,"dNPH Surrogate recovery below minimum QA value (60%)",2,"2","SumPAHsLMW","ng/g",242.4711697,"dNPH Surrogate recovery below minimum QA value (60%)","1","SumPAHsHMW","ng/g",270.0247117,"dNPH Surrogate recovery below minimum QA value (60%)",2,"2","SumPAHs42_DMNcorrected","ng/g",518.0065898,NA,2
"53",53,53,47.54167,-122.64034,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Kitsap St Boat Launch",25,10,5,3,3,3,2,5,3525403,1.604,0.805,0.049,0.739,0.07,"3","47.54 - 48.07","-122.7 - -122.23","Group 3
Lat: 47.54 - 48.07
Long: -122.7 - -122.23","Sum40CBs","ng/g",116.330655,NA,7,"5","SumPAHs16","ng/g",303.4712736,NA,3,"2","SumPAHs42_DMNcorrected","ng/g",758.678184,NA,3,"SumPAHsHMW","ng/g",354.0498192,NA,2,"2","SumPAHsLMW","ng/g",419.8019285,NA,"2","SumPAHsHMW","ng/g",354.0498192,NA,2,"2","SumPAHs42_DMNcorrected","ng/g",758.678184,NA,3
"54",54,54,47.54167,-122.64034,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Kitsap St Boat Launch",25,10,5,3,3,3,2,5,990428,21.209,0.8,0.027,0.695,0.034,"3","47.54 - 48.07","-122.7 - -122.23","Group 3
Lat: 47.54 - 48.07
Long: -122.7 - -122.23","Sum40CBs","ng/g",116.330655,NA,7,"5","SumPAHs16","ng/g",303.4712736,NA,3,"2","SumPAHs42_DMNcorrected","ng/g",758.678184,NA,3,"SumPAHsHMW","ng/g",354.0498192,NA,2,"2","SumPAHsLMW","ng/g",419.8019285,NA,"2","SumPAHsHMW","ng/g",354.0498192,NA,2,"2","SumPAHs42_DMNcorrected","ng/g",758.678184,NA,3
"55",55,55,47.54167,-122.64034,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Kitsap St Boat Launch",25,10,5,3,3,3,2,5,1035758,10.072,0.855,0.033,0.696,0.052,"3","47.54 - 48.07","-122.7 - -122.23","Group 3
Lat: 47.54 - 48.07
Long: -122.7 - -122.23","Sum40CBs","ng/g",116.330655,NA,7,"5","SumPAHs16","ng/g",303.4712736,NA,3,"2","SumPAHs42_DMNcorrected","ng/g",758.678184,NA,3,"SumPAHsHMW","ng/g",354.0498192,NA,2,"2","SumPAHsLMW","ng/g",419.8019285,NA,"2","SumPAHsHMW","ng/g",354.0498192,NA,2,"2","SumPAHs42_DMNcorrected","ng/g",758.678184,NA,3
"56",56,56,47.54167,-122.64034,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Kitsap St Boat Launch",25,10,5,3,3,3,2,5,5860348,10.107,0.87,0.023,0.713,0.051,"3","47.54 - 48.07","-122.7 - -122.23","Group 3
Lat: 47.54 - 48.07
Long: -122.7 - -122.23","Sum40CBs","ng/g",116.330655,NA,7,"5","SumPAHs16","ng/g",303.4712736,NA,3,"2","SumPAHs42_DMNcorrected","ng/g",758.678184,NA,3,"SumPAHsHMW","ng/g",354.0498192,NA,2,"2","SumPAHsLMW","ng/g",419.8019285,NA,"2","SumPAHsHMW","ng/g",354.0498192,NA,2,"2","SumPAHs42_DMNcorrected","ng/g",758.678184,NA,3
"57",57,57,47.61889,-122.5275,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Eagle Harbor Dr",31,10,5,3,3,3,2,5,2871510,11.306,0.815,0.043,0.703,0.055,"3","47.54 - 48.07","-122.7 - -122.23","Group 3
Lat: 47.54 - 48.07
Long: -122.7 - -122.23","Sum40CBs","ng/g",75.6208156,NA,5,"4","SumPAHs16","ng/g",577.4680463,NA,3,"2","SumPAHs42_DMNcorrected","ng/g",1031.19294,NA,3,"SumPAHsHMW","ng/g",653.0888618,NA,3,"2","SumPAHsLMW","ng/g",364.3548387,NA,"2","SumPAHsHMW","ng/g",653.0888618,NA,3,"2","SumPAHs42_DMNcorrected","ng/g",1031.19294,NA,3
"58",58,58,47.61889,-122.5275,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Eagle Harbor Dr",31,10,5,3,3,3,2,5,939065,1.798,0.91,0.05,0.725,0.064,"3","47.54 - 48.07","-122.7 - -122.23","Group 3
Lat: 47.54 - 48.07
Long: -122.7 - -122.23","Sum40CBs","ng/g",75.6208156,NA,5,"4","SumPAHs16","ng/g",577.4680463,NA,3,"2","SumPAHs42_DMNcorrected","ng/g",1031.19294,NA,3,"SumPAHsHMW","ng/g",653.0888618,NA,3,"2","SumPAHsLMW","ng/g",364.3548387,NA,"2","SumPAHsHMW","ng/g",653.0888618,NA,3,"2","SumPAHs42_DMNcorrected","ng/g",1031.19294,NA,3
"59",59,59,47.61889,-122.5275,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Eagle Harbor Dr",31,10,5,2,2,3,2,3,2018231,12.545,1.02,0.046,0.705,0.061,"3","47.54 - 48.07","-122.7 - -122.23","Group 3
Lat: 47.54 - 48.07
Long: -122.7 - -122.23","Sum40CBs","ng/g",75.6208156,NA,5,"4","SumPAHs16","ng/g",577.4680463,NA,3,"2","SumPAHs42_DMNcorrected","ng/g",1031.19294,NA,3,"SumPAHsHMW","ng/g",653.0888618,NA,3,"2","SumPAHsLMW","ng/g",364.3548387,NA,"2","SumPAHsHMW","ng/g",653.0888618,NA,3,"2","SumPAHs42_DMNcorrected","ng/g",1031.19294,NA,3
"60",60,60,47.61889,-122.5275,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Eagle Harbor Dr",31,10,5,2,2,3,2,3,1556797,24.79,0.825,0.038,0.674,0.052,"3","47.54 - 48.07","-122.7 - -122.23","Group 3
Lat: 47.54 - 48.07
Long: -122.7 - -122.23","Sum40CBs","ng/g",75.6208156,NA,5,"4","SumPAHs16","ng/g",577.4680463,NA,3,"2","SumPAHs42_DMNcorrected","ng/g",1031.19294,NA,3,"SumPAHsHMW","ng/g",653.0888618,NA,3,"2","SumPAHsLMW","ng/g",364.3548387,NA,"2","SumPAHsHMW","ng/g",653.0888618,NA,3,"2","SumPAHs42_DMNcorrected","ng/g",1031.19294,NA,3
"61",61,61,48.482448,-122.583879,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Fidalgo Bay Aq Reserve, Weaverling Spit",63,7,5,2,2,3,2,3,NA,5.992,0.73,0.039,0.737,0.054,"4","48.26 - 48.82","-123.02 - -122.5","Group 4
Lat: 48.26 - 48.82
Long: -123.02 - -122.5","Sum40CBs","ng/g",22.8947563,NA,1,"1","SumPAHs16","ng/g",165.3510179,NA,2,"2","SumPAHs42_DMNcorrected","ng/g",699.5619988,NA,3,"SumPAHsHMW","ng/g",254.3861814,NA,2,"2","SumPAHsLMW","ng/g",438.8161629,NA,"2","SumPAHsHMW","ng/g",254.3861814,NA,2,"2","SumPAHs42_DMNcorrected","ng/g",699.5619988,NA,3
"62",62,62,48.482448,-122.583879,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Fidalgo Bay Aq Reserve, Weaverling Spit",63,7,5,2,2,3,2,3,1670358,13.528,0.755,0.035,0.696,0.048,"4","48.26 - 48.82","-123.02 - -122.5","Group 4
Lat: 48.26 - 48.82
Long: -123.02 - -122.5","Sum40CBs","ng/g",22.8947563,NA,1,"1","SumPAHs16","ng/g",165.3510179,NA,2,"2","SumPAHs42_DMNcorrected","ng/g",699.5619988,NA,3,"SumPAHsHMW","ng/g",254.3861814,NA,2,"2","SumPAHsLMW","ng/g",438.8161629,NA,"2","SumPAHsHMW","ng/g",254.3861814,NA,2,"2","SumPAHs42_DMNcorrected","ng/g",699.5619988,NA,3
"63",63,63,48.482448,-122.583879,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Fidalgo Bay Aq Reserve, Weaverling Spit",63,7,5,2,2,3,2,3,4330874,10.958,0.74,0.039,0.724,0.062,"4","48.26 - 48.82","-123.02 - -122.5","Group 4
Lat: 48.26 - 48.82
Long: -123.02 - -122.5","Sum40CBs","ng/g",22.8947563,NA,1,"1","SumPAHs16","ng/g",165.3510179,NA,2,"2","SumPAHs42_DMNcorrected","ng/g",699.5619988,NA,3,"SumPAHsHMW","ng/g",254.3861814,NA,2,"2","SumPAHsLMW","ng/g",438.8161629,NA,"2","SumPAHsHMW","ng/g",254.3861814,NA,2,"2","SumPAHs42_DMNcorrected","ng/g",699.5619988,NA,3
"64",64,64,48.482448,-122.583879,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Fidalgo Bay Aq Reserve, Weaverling Spit",63,7,5,8,8,8,7,3,3613765,17.031,0.825,0.036,0.691,0.057,"4","48.26 - 48.82","-123.02 - -122.5","Group 4
Lat: 48.26 - 48.82
Long: -123.02 - -122.5","Sum40CBs","ng/g",22.8947563,NA,1,"1","SumPAHs16","ng/g",165.3510179,NA,2,"2","SumPAHs42_DMNcorrected","ng/g",699.5619988,NA,3,"SumPAHsHMW","ng/g",254.3861814,NA,2,"2","SumPAHsLMW","ng/g",438.8161629,NA,"2","SumPAHsHMW","ng/g",254.3861814,NA,2,"2","SumPAHs42_DMNcorrected","ng/g",699.5619988,NA,3
"65",65,65,47.11795,-122.83359,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Meyer's Point - Henderson Inlet",71,13,5,8,8,8,7,3,3127319,17.331,0.8,0.036,0.689,0.053,"1","47.05 - 47.57","-123 - -122.67","Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67","Sum40CBs","ng/g",49.0690299,NA,3,"3","SumPAHs16","ng/g",66.16884328,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",200.7369403,NA,1,"SumPAHsHMW","ng/g",52.7863806,NA,1,"1","SumPAHsLMW","ng/g",148.6940299,NA,"1","SumPAHsHMW","ng/g",52.7863806,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",200.7369403,NA,1
"66",66,66,47.11795,-122.83359,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Meyer's Point - Henderson Inlet",71,13,5,8,8,8,7,3,2281892,8.102,0.965,0.035,0.675,0.06,"1","47.05 - 47.57","-123 - -122.67","Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67","Sum40CBs","ng/g",49.0690299,NA,3,"3","SumPAHs16","ng/g",66.16884328,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",200.7369403,NA,1,"SumPAHsHMW","ng/g",52.7863806,NA,1,"1","SumPAHsLMW","ng/g",148.6940299,NA,"1","SumPAHsHMW","ng/g",52.7863806,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",200.7369403,NA,1
