site_name,latitude,longitude,reporting_area,site_number,sample_id,p450,mercury,arsenic,cadmium,copper,lead,zinc,lmwPAH,PAH16,sumPCB,hmwPAH,sumPAH,PAHgroup,PAHgroup2
"Purdy, Burley Lagoon",47.386977,-122.6367089,13,47,76,1243697.714,0.035906433,9.005847953,1.842105263,6.549707602,0.246783626,90.64327485,129.2528008,86.16853385,59.08699464,86.16853385,215.4213346,low,mid
"Purdy, Burley Lagoon",47.386977,-122.6367089,13,47,77,6878481.422,0.035906433,9.005847953,1.842105263,6.549707602,0.246783626,90.64327485,129.2528008,86.16853385,59.08699464,86.16853385,215.4213346,low,mid
Discovery Bay,48.064957,-122.857524,6,12,162,5436068.044,0.032568306,8.524590164,1.928961749,5.628415301,0.209836066,92.34972678,136.5052112,117.6769062,16.94547449,98.84860121,235.3538124,low,mid
Discovery Bay,48.064957,-122.857524,6,12,163,5773097.603,0.032568306,8.524590164,1.928961749,5.628415301,0.209836066,92.34972678,136.5052112,117.6769062,16.94547449,98.84860121,235.3538124,low,mid
Discovery Bay,48.064957,-122.857524,6,12,164,1513620.949,0.032568306,8.524590164,1.928961749,5.628415301,0.209836066,92.34972678,136.5052112,117.6769062,16.94547449,98.84860121,235.3538124,low,mid
Discovery Bay,48.064957,-122.857524,6,12,165,3207157.892,0.032568306,8.524590164,1.928961749,5.628415301,0.209836066,92.34972678,136.5052112,117.6769062,16.94547449,98.84860121,235.3538124,low,mid
Tulalip Reservation,48.0697859,-122.2997764,8.2,70,193,2520935.427,0.031097561,7.743902439,1.835365854,5.853658537,0.201219512,68.29268293,135.5879237,123.7976695,29.47563559,117.9025424,253.4904661,mid,mid
Tulalip Reservation,48.0697859,-122.2997764,8.2,70,192,4598259.843,0.031097561,7.743902439,1.835365854,5.853658537,0.201219512,68.29268293,135.5879237,123.7976695,29.47563559,117.9025424,253.4904661,mid,mid
Tulalip Reservation,48.0697859,-122.2997764,8.2,70,190,9509258.245,0.031097561,7.743902439,1.835365854,5.853658537,0.201219512,68.29268293,135.5879237,123.7976695,29.47563559,117.9025424,253.4904661,mid,mid
Tulalip Reservation,48.0697859,-122.2997764,8.2,70,191,3760565.538,0.031097561,7.743902439,1.835365854,5.853658537,0.201219512,68.29268293,135.5879237,123.7976695,29.47563559,117.9025424,253.4904661,mid,mid
Madrona Pont,47.57995505,-122.6786,10,28,154,6650989.658,0.030568182,8.75,1.721590909,5.670454545,0.511363636,85.22727273,138.6095821,108.4770642,72.31804281,120.5300714,259.1396534,mid,mid
Madrona Pont,47.57995505,-122.6786,10,28,153,11889909.51,0.030568182,8.75,1.721590909,5.670454545,0.511363636,85.22727273,138.6095821,108.4770642,72.31804281,120.5300714,259.1396534,mid,mid
Madrona Pont,47.57995505,-122.6786,10,28,155,3417932.42,0.030568182,8.75,1.721590909,5.670454545,0.511363636,85.22727273,138.6095821,108.4770642,72.31804281,120.5300714,259.1396534,mid,mid
Madrona Pont,47.57995505,-122.6786,10,28,156,6111407.362,0.030568182,8.75,1.721590909,5.670454545,0.511363636,85.22727273,138.6095821,108.4770642,72.31804281,120.5300714,259.1396534,mid,mid
Kingston Marina,47.794695,-122.499858,10,36,167,7415597.328,0.048145695,8.145695364,1.933774834,5.649006623,0.219205298,82.78145695,149.5060052,123.5049608,49.40198433,123.5049608,273.0109661,mid,mid
Kingston Marina,47.794695,-122.499858,10,36,166,2382760.203,0.048145695,8.145695364,1.933774834,5.649006623,0.219205298,82.78145695,149.5060052,123.5049608,49.40198433,123.5049608,273.0109661,mid,mid
Kingston Marina,47.794695,-122.499858,10,36,168,4668353.64,0.048145695,8.145695364,1.933774834,5.649006623,0.219205298,82.78145695,149.5060052,123.5049608,49.40198433,123.5049608,273.0109661,mid,mid
Kingston Marina,47.794695,-122.499858,10,36,169,7376507.593,0.048145695,8.145695364,1.933774834,5.649006623,0.219205298,82.78145695,149.5060052,123.5049608,49.40198433,123.5049608,273.0109661,mid,mid
Lions Park,47.5833538,-122.6414587,10,37,299,8242276.652,0.0365,8.5625,1.925,6.16875,0.34875,94.375,157.9597031,118.4697773,85.56150583,131.6330859,289.592789,mid,mid
Lions Park,47.5833538,-122.6414587,10,37,300,8603570.336,0.0365,8.5625,1.925,6.16875,0.34875,94.375,157.9597031,118.4697773,85.56150583,131.6330859,289.592789,mid,mid
Lions Park,47.5833538,-122.6414587,10,37,301,2556546.506,0.0365,8.5625,1.925,6.16875,0.34875,94.375,157.9597031,118.4697773,85.56150583,131.6330859,289.592789,mid,mid
Lions Park,47.5833538,-122.6414587,10,37,302,6090271.547,0.0365,8.5625,1.925,6.16875,0.34875,94.375,157.9597031,118.4697773,85.56150583,131.6330859,289.592789,mid,mid
Miller Creek,47.4436,-122.360316,11,20,233,8815608.939,0.041595092,8.711656442,1.969325153,5.355828221,0.235582822,87.73006135,171.5772708,114.3848472,54.01506672,120.7395609,292.3168317,mid,mid
Miller Creek,47.4436,-122.360316,11,20,234,18090510.68,0.041595092,8.711656442,1.969325153,5.355828221,0.235582822,87.73006135,171.5772708,114.3848472,54.01506672,120.7395609,292.3168317,mid,mid
Miller Creek,47.4436,-122.360316,11,20,231,5993436.247,0.041595092,8.711656442,1.969325153,5.355828221,0.235582822,87.73006135,171.5772708,114.3848472,54.01506672,120.7395609,292.3168317,mid,mid
Miller Creek,47.4436,-122.360316,11,20,232,30697269.95,0.041595092,8.711656442,1.969325153,5.355828221,0.235582822,87.73006135,171.5772708,114.3848472,54.01506672,120.7395609,292.3168317,mid,mid
