site_name,analyte,dryvalue
"Smith Cove, Terminal 91",SumHCHs,4.682144985
Thea Foss Waterway,SumHCHs,1.233205765
"Salmon Bay, Commodore Park",SumHCHs,4.167058824
"Seattle Aquarium, Pier 59",SumHCHs,2.527322835
"Cherry Point Aquatic Reserve, Conoco Phillips",SumHCHs,0.845135473
Edmonds Marina,SumHCHs,0.585706371
Arroyo Beach,SumHCHs,-1.14063249
Brackenwood Ln,SumHCHs,-1.297890137
Salmon Beach,SumHCHs,-1.309787234
Chimacum Creek delta,SumHCHs,-1.310239234
Skiff Point,SumHCHs,-1.835036304
S of Skunk Island,SumHCHs,-1.321275698
"Chuckanut, Clark's Point",SumHCHs,-1.090249377
"Eastsound, Fishing Bay",SumHCHs,-1.157248764
Williams Olson Park,SumHCHs,-1.144761614
Port Angeles Yacht Club,SumHCHs,-1.202061856
Discovery Bay,SumHCHs,-0.7531322
Squaxin Island,SumHCHs,-1.100511236
Eld Inlet,SumHCHs,-1.01886385
North Camano,SumHCHs,-1.269586375
Reach Island,SumHCHs,-1.226004098
Friday Harbor,SumHCHs,-1.190727056
Tulalip Reservation,SumHCHs,-0.884269068
Drayton Harbor,SumHCHs,-2.459349776
Three Tree Point,SumHCHs,-1.119319085
Locust Beach,SumHCHs,-1.216041553
West Bay Park,SumHCHs,-1.349721237
Lions Park,SumHCHs,-1.316330859
Madrona Pont,SumHCHs,-1.024505607
Aiston Preserve,SumHCHs,-0.913153595
Penn Cove Reference,SumHCHs,-1.097256294
Hood Canal Holly,SumHCHs,-1.297603687
Broad Spit,SumHCHs,-1.071669458
Penn Cove Baseline 1,SumHCHs,-0.59943758
Penn Cove Baseline 2,SumHCHs,-0.83877551
Penn Cove Baseline 3,SumHCHs,-0.516919502
"Manchester, Stormwater Outfall",SumHCHs,-1.162993161
"Suquamish, Stormwater Outfall",SumHCHs,-0.708853687
Kingston Marina,SumHCHs,-1.040041775
Eagle Harbor Dr,SumHCHs,-1.237431528
Point Defiance Ferry,SumHCHs,-0.984333968
Donkey Creek Delta,SumHCHs,-0.859574341
Comm Bay Skookum,SumHCHs,-1.384901228
Mukilteo,SumHCHs,-1.035759135
Everett Harbor,SumHCHs,-1.2649094
Tulalip Bay,SumHCHs,-1.10312
