"site_name","latitude","longitude","arsenic","cadmium","copper","lead","mercury","zinc","z_arsenic","z_cadmium","z_mercury","z_copper","z_lead","z_zinc","ai_z_arsenic","ai_z_cadmium","ai_z_mercury","ai_z_copper","ai_z_lead","ai_z_zinc","heavy_metal_index","nutrient_metal_index","total_metal_index"
"Skiff Point",47.6614139,-122.498892,1570,337,1110,39.6,7,16500,1.19574412782165,1.18619161174994,0.968299420440852,-0.124731472081956,-0.339642940798721,1.18062953544097,0.296220675760936,1.38416984397977,4.81763832194321,0.0959472862168895,0.460572833489226,1.0577934842046,6.49802884168392,1.61431360391072,8.11234244559463
"Smith Cove, Terminal 91",47.6325,-122.3786,1430,296,1290,93.1,5.48,18500,0.158971762658369,-0.533534558043112,-0.077816329466816,0.220678758298846,2.02965000070835,2.22279060362285,0.740551689402341,3.10389601377282,3.77152257203554,0.441357516597692,2.8298657749963,2.09995455238648,7.6159702752107,5.37117784398047,12.9871481191912
"Squaxin Island",47.176735,-122.905337,1290,359,1000,28.5,5.08,14000,-0.877800602504908,2.10897150773645,-0.353109947863571,-0.335815501759113,-0.831215868849722,-0.12207179978637,1.77732405456562,0.461389947993257,3.49622895363879,0.115136743460267,0.0310000945617748,0.24490785102274,5.73494295619766,0.391044689044783,6.12598764524244
"Suquamish Stormwater Outfall",47.729875,-122.550882,1440,314,1060,34.6,5.43,13700,0.233026931598604,0.221467175036762,-0.112228031766411,-0.220678758298846,-0.561072187668541,-0.278395960013651,0.666496520462107,2.34889428069294,3.73711086973595,0,0.239143586619406,0.401232011250022,6.752501670891,0.640375597869428,7.39287726876042
"Thea Foss Waterway",47.25934,-122.43479,1210,310,1470,74.3,4.1,14000,-1.47024195402678,0.0536890121301233,-1.02757931293562,0.566088988679648,1.19707603247783,-0.12207179978637,2.36976540608749,2.51667244359958,2.82175958856674,0.786767746978494,1.99729180676578,0.24490785102274,7.70819743825381,3.02896740476701,10.7371648430208
"Three Tree Point",47.4485721,-122.3723967,1470,303,1050,32.5,5.1,15000,0.455192438419306,-0.239922772956495,-0.339345266943734,-0.239868215542224,-0.654072471353866,0.399008734304567,0.444331013641405,2.8102842286862,3.50999363455862,0.0191894572433779,0.146143302934081,0.276172683068197,6.76460887688623,0.441505443245656,7.20611432013188
"Tulalip Bay",48.0616613,-122.293939,1410,315,1200,42.1,6.61,11100,0.0108614247779012,0.263411715763422,0.699888142504016,0.0479736431084448,-0.228928317363811,-1.63320534865009,0.888662027282809,2.30694973996628,4.54922704400637,0.268652401407291,0.571287456924136,1.75604139988646,7.74483881125547,2.59598125821789,10.3408200694734
"Tulalip Reservation",48.069978,-122.300216,1270,301,960,33,5.1,11200,-1.02591094038538,-0.323811854409814,-0.339345266943734,-0.412573330732625,-0.631929546666884,-1.58109729524099,1.92543439244609,2.89417331013952,3.50999363455862,0.191894572433779,0.168286227621063,1.70393334647736,8.32960133714423,2.06411414653221,10.3937154836764
"West Bay Park",47.052373,-122.9101963,1280,289,1030,31.6,4.94,12200,-0.951855771445142,-0.82714634312973,-0.449462714302435,-0.27824713002898,-0.693929735790433,-1.06001676115006,1.85137922350585,3.39750779885944,3.39987618719992,0.0575683717301337,0.106286038497514,1.18285281238643,8.64876320956521,1.34670722261408,9.99547043217929
"Williams Olson Park",47.6609,-122.5668,1500,291,1780,61.1,5.39,15200,0.677357945240008,-0.743257261676411,-0.139757393606086,1.16096216322436,0.612502820741506,0.503224841122755,0.222165506820702,3.31361871740612,3.70958150789627,1.38164092152321,1.41271859502945,0.380388789886384,7.24536573212309,3.17474830643905,10.4201140385621
"Penn Cove Baseline",48.218626,-122.707972,1530,370,1060,29.2,0,14470,0.89952345206071,2.57036145572971,-3.84933890150236,-0.220678758298846,-0.800215774287947,0.12283605123637,0,0,0,0,0,0,0,0,0
