sample_id,latitude,longitude,site_name,site_number,reporting_area,p450,sod,shell,ci1,ci2,ci3,weight_initial_g,weight_final_g,weight_change_g,length_mm,width_mm,height_mm,IBR,IBRv2i
98,47.68234,-122.5064,Brackenwood Ln,23,10,1651492,6.809,0.75,0.034,0.672,0.052,19.457,6.375,13.083,62.93,29.59,20.53,5.545922378238209,1.3091679331495853
99,47.68234,-122.5064,Brackenwood Ln,23,10,2161794,7.492,0.755,0.034,0.738,0.056,17.489,4.59,12.899,61.43,27.83,22.01,3.9024000050619554,0.8288737347647245
100,48.04906,-122.7724,Chimacum Creek delta,8,9,2951353,2.599,0.825,0.037,0.693,0.054,17.732,5.45,12.282,60.98,25.96,21.22,3.6472436214153032,0.9606701143153925
101,48.04906,-122.7724,Chimacum Creek delta,8,9,1782912,2.837,0.75,0.029,0.603,0.045,11.096,4.405,6.691,52.86,24.82,17.8,3.9204522326227282,-1.7081160467009866
102,48.04906,-122.7724,Chimacum Creek delta,8,9,2742037,0.0025,0.995,0.033,0.654,0.052,14.052,4.862,9.19,55.95,24.15,20.32,4.237407449293553,0.15154437879300597
103,48.04906,-122.7724,Chimacum Creek delta,8,9,3088893,2.177,1.045,0.03,0.591,0.057,16.11,6.588,9.522,55.17,24.85,23.36,5.969531824194326,1.5580462102813912
104,47.5706,-122.9717,Hood Canal Holly,29,12,839073,0.0025,0.725,0.032,0.672,0.048,15.226,4.998,10.228,59.59,26.28,20.52,3.5910741076323776,-0.2279595299786903
105,47.5706,-122.9717,Hood Canal Holly,29,12,2253784,9.83,0.69,0.034,0.693,0.058,14.754,4.533,10.221,56.15,25.53,20.86,2.208938273160631,-0.3673368832923094
106,47.5706,-122.9717,Hood Canal Holly,29,12,291625,0.0025,0.755,0.035,0.705,0.06,17.157,5.057,12.1,58.76,26.68,22.35,4.3674425503299075,0.3700222376396903
107,47.5706,-122.9717,Hood Canal Holly,29,12,1692340,0.0025,0.575,0.034,0.714,0.053,16.647,4.755,11.891,60.8,27.27,21.28,5.429726319029089,-0.13339801396430687
108,47.5706,-122.9717,Hood Canal Holly,29,12,4124139,0.0025,0.63,0.035,0.667,0.055,16.345,5.447,10.898,58.36,27.32,19.36,3.8668291880532744,-0.11465265015475434
109,47.5706,-122.9717,Hood Canal Holly,29,12,380080,0.0025,0.685,0.036,0.688,0.055,17.472,5.455,12.018,60.34,27.46,19.99,4.874066890184153,0.021923905072413076
110,47.3062,-122.5145,Point Defiance Ferry,43,11,2208901,4.647,0.79,0.036,0.718,0.05,14.624,4.124,10.5,59.56,27.63,17.96,3.1818371575257016,-0.4817913440377932
111,47.3062,-122.5145,Point Defiance Ferry,43,11,1482316,6.956,0.79,0.037,0.724,0.057,14.085,3.885,10.2,56.35,24.55,19.85,1.9818296527472028,-0.6823649687762934
112,47.3062,-122.5145,Point Defiance Ferry,43,11,2846056,3.17,0.87,0.038,0.7,0.053,12.598,3.782,8.816,54.89,23.83,17.61,4.072117581308055,-1.1429413506290578
113,47.3062,-122.5145,Point Defiance Ferry,43,11,1927874,11.043,0.905,0.036,0.715,0.059,14.682,4.181,10.501,56.32,26.16,19.62,2.4348071352464653,-0.05623734443654002
114,47.292549,-122.412175,"Comm Bay, Dick Gilmur Launch",48,11,3585899,31.015,0.635,0.037,0.748,0.049,13.872,3.49,10.383,59.74,25.48,18.67,6.045024925925407,-0.5266486927765979
115,47.292549,-122.412175,"Comm Bay, Dick Gilmur Launch",48,11,4636577,11.286,0.93,0.035,0.703,0.054,17.884,5.307,12.578,61.58,27.21,21.49,4.61396451920683,1.737742377004448
116,47.292549,-122.412175,"Comm Bay, Dick Gilmur Launch",48,11,4040140,4.915,0.87,0.031,0.672,0.05,13.112,4.301,8.811,56.19,26.09,19.63,1.9287053324449883,-0.21078393303786055
117,47.292549,-122.412175,"Comm Bay, Dick Gilmur Launch",48,11,2353038,8.819,0.895,0.036,0.71,0.056,18.298,5.298,12.999,61.41,27.4,21.52,4.605307995507155,1.400187196073248
118,47.259189,-122.434689,Thea Foss Waterway,46,11,735845,8.373,0.87,0.033,0.69,0.047,13.637,4.224,9.414,58.63,28.6,16.85,4.502066418276023,-0.684955251022987
119,47.259189,-122.434689,Thea Foss Waterway,46,11,1453865,13.402,0.89,0.036,0.696,0.054,14.575,4.425,10.151,57.26,24.62,19.86,3.201205756710445,-0.055603989105559026
120,47.259189,-122.434689,Thea Foss Waterway,46,11,3073516,13.817,0.925,0.036,0.68,0.051,13.158,4.211,8.947,55.99,24.13,18.48,3.799125319428381,-0.3703362099941325
121,47.259189,-122.434689,Thea Foss Waterway,46,11,35791207,23.09,0.95,0.034,0.686,0.06,16.603,5.209,11.395,57.47,26.45,21.89,10.291856640013439,5.070686223842941
122,47.259189,-122.434689,Thea Foss Waterway,46,11,8793140,0.255,0.85,0.007,0.322,0.012,7.997,5.419,2.578,60.02,27.49,22.34,6.285721167185036,0.5874040835789731
123,47.29464,-122.53053,Salmon Beach,40,11,917068,0.0025,0.935,0.032,0.684,0.065,16.972,5.364,11.608,56.34,30.2,21.25,5.820911333565679,0.8173073129095036
124,47.29464,-122.53053,Salmon Beach,40,11,2352820,12.933,0.685,0.034,0.677,0.055,10.64,3.439,7.202,50.89,22.22,18.5,5.952421397429642,-2.0676252648396196
125,47.29464,-122.53053,Salmon Beach,40,11,3651552,8.918,0.8,0.034,0.686,0.054,11.012,3.454,7.557,51.9,23.67,18.02,3.9553478853032846,-1.5582561022705974
126,47.29464,-122.53053,Salmon Beach,40,11,1382918,7.345,1.035,0.033,0.689,0.042,12.824,3.99,8.835,59.3,22.35,19.98,5.3447334111377796,-0.06129455609425555
127,47.1905742,-122.5834897,Chambers Bay Park,56,13,22777074,15.598,0.885,0.034,0.648,0.052,13.977,4.923,9.055,56.01,24.49,19.35,5.840495788202815,2.2111447860398163
