site_name,analyte,dryvalue
S of Skunk Island,opDDT,-1.561507644
S of Skunk Island,Oxychlordane,-1.561507644
S of Skunk Island,ppDDD,-1.561507644
S of Skunk Island,ppDDE,-1.321275698
S of Skunk Island,ppDDT,-1.381333685
Blair Waterway,alpha_chlordane,1.320172496
Blair Waterway,alpha_hexachlorocyclohexane,-1.100143747
Blair Waterway,aldrin,-1.155150934
Blair Waterway,beta_chlordane,1.650215621
Blair Waterway,BDE100,1.650215621
Blair Waterway,BDE153,-1.155150934
Blair Waterway,BDE154,-1.375179684
Blair Waterway,BDE155,-1.320172496
Blair Waterway,BDE183,-1.100143747
Blair Waterway,BDE028,-1.320172496
Blair Waterway,BDE047,8.251078103
Blair Waterway,BDE049,-1.320172496
Blair Waterway,BDE066,-1.375179684
Blair Waterway,BDE085,-1.320172496
Blair Waterway,BDE099,6.050790609
Blair Waterway,beta_hexachlorocyclohexane,0.880114998
Blair Waterway,Br5DE04,-1.320172496
Blair Waterway,Br5DE05,-1.320172496
Blair Waterway,Br6DE01,-1.375179684
Blair Waterway,Br7DE01,-1.100143747
Blair Waterway,PCB101,2.91538093
Blair Waterway,PCB105,1.650215621
Blair Waterway,PCB011,-1.320172496
Blair Waterway,PCB110,2.970388117
Blair Waterway,PCB118,3.080402492
Blair Waterway,PCB128,-1.320172496
Blair Waterway,PCB138,4.56559655
Blair Waterway,PCB149,2.420316243
Blair Waterway,PCB151,-1.320172496
Blair Waterway,PCB153,4.400574988
Blair Waterway,PCB156,-1.320172496
Blair Waterway,PCB158,-1.320172496
Blair Waterway,PCB017,-1.320172496
Blair Waterway,PCB170,-1.320172496
Blair Waterway,PCB171,-1.320172496
Blair Waterway,PCB177,-1.320172496
Blair Waterway,PCB018,1.760229995
Blair Waterway,PCB180,-1.320172496
Blair Waterway,PCB183,-1.320172496
Blair Waterway,PCB187,-1.320172496
Blair Waterway,PCB191,-1.320172496
Blair Waterway,PCB194,-1.320172496
Blair Waterway,PCB195,-1.320172496
Blair Waterway,PCB198,-1.320172496
Blair Waterway,PCB199,-1.320172496
Blair Waterway,PCB205,-1.320172496
Blair Waterway,PCB206,-1.320172496
Blair Waterway,PCB208,-1.320172496
Blair Waterway,PCB209,-1.320172496
Blair Waterway,PCB028,1.87024437
Blair Waterway,PCB031,2.035265932
Blair Waterway,PCB033,1.375179684
Blair Waterway,PCB044,1.375179684
Blair Waterway,PCB049,-1.320172496
Blair Waterway,PCB052,1.925251557
Blair Waterway,PCB066,-1.320172496
Blair Waterway,PCB070,1.760229995
Blair Waterway,PCB074,-1.320172496
Blair Waterway,PCB082,-1.320172496
Blair Waterway,PCB087,-1.320172496
Blair Waterway,PCB095,1.815237183
Blair Waterway,PCB099,1.540201246
Blair Waterway,cis_nonachlor,-1.320172496
Blair Waterway,dieldrin,-1.04513656
Blair Waterway,Endosulfan_1,-1.155150934
Blair Waterway,hexachlorobenzene,-1.320172496
Blair Waterway,heptachlor,-1.155150934
Blair Waterway,heptachlor_epoxide,-1.210158122
Blair Waterway,gamma_hexachlorocyclohexane,-1.100143747
Blair Waterway,mirex,-1.320172496
Blair Waterway,nonachlor3,-1.320172496
Blair Waterway,opDDD,1.485194058
Blair Waterway,opDDE,-1.320172496
Blair Waterway,opDDT,-1.320172496
Blair Waterway,Oxychlordane,-1.320172496
Blair Waterway,ppDDD,2.420316243
Blair Waterway,ppDDE,3.960517489
Blair Waterway,ppDDT,2.145280307
"Chuckanut, Clark's Point",alpha_chlordane,-1.147630923
"Chuckanut, Clark's Point",alpha_hexachlorocyclohexane,-1.090249377
"Chuckanut, Clark's Point",aldrin,-1.147630923
"Chuckanut, Clark's Point",beta_chlordane,-1.319775561
"Chuckanut, Clark's Point",BDE100,-1.319775561
"Chuckanut, Clark's Point",BDE153,-1.147630923
"Chuckanut, Clark's Point",BDE154,-1.319775561
"Chuckanut, Clark's Point",BDE155,-1.319775561
"Chuckanut, Clark's Point",BDE183,-1.090249377
"Chuckanut, Clark's Point",BDE028,-1.319775561
"Chuckanut, Clark's Point",BDE047,-1.319775561
"Chuckanut, Clark's Point",BDE049,-1.319775561
"Chuckanut, Clark's Point",BDE066,-1.319775561
"Chuckanut, Clark's Point",BDE085,-1.319775561
"Chuckanut, Clark's Point",BDE099,-1.319775561
"Chuckanut, Clark's Point",beta_hexachlorocyclohexane,-0.7459601
"Chuckanut, Clark's Point",Br5DE04,-1.319775561
"Chuckanut, Clark's Point",Br5DE05,-1.319775561
"Chuckanut, Clark's Point",Br6DE01,-1.319775561
"Chuckanut, Clark's Point",Br7DE01,-1.090249377
"Chuckanut, Clark's Point",PCB101,1.721446384
"Chuckanut, Clark's Point",PCB105,1.4919202
"Chuckanut, Clark's Point",PCB011,-1.319775561
"Chuckanut, Clark's Point",PCB110,2.008354115
"Chuckanut, Clark's Point",PCB118,2.467406484
"Chuckanut, Clark's Point",PCB128,-1.319775561
"Chuckanut, Clark's Point",PCB138,3.27074813
"Chuckanut, Clark's Point",PCB149,1.377157107
"Chuckanut, Clark's Point",PCB151,-1.319775561
"Chuckanut, Clark's Point",PCB153,3.155985037
"Chuckanut, Clark's Point",PCB156,-1.319775561
"Chuckanut, Clark's Point",PCB158,-1.319775561
"Chuckanut, Clark's Point",PCB017,-1.319775561
"Chuckanut, Clark's Point",PCB170,-1.319775561
"Chuckanut, Clark's Point",PCB171,-1.319775561
"Chuckanut, Clark's Point",PCB177,-1.319775561
"Chuckanut, Clark's Point",PCB018,1.836209476
"Chuckanut, Clark's Point",PCB180,-1.319775561
"Chuckanut, Clark's Point",PCB183,-1.319775561
"Chuckanut, Clark's Point",PCB187,-1.319775561
"Chuckanut, Clark's Point",PCB191,-1.319775561
"Chuckanut, Clark's Point",PCB194,-1.319775561
"Chuckanut, Clark's Point",PCB195,-1.319775561
"Chuckanut, Clark's Point",PCB198,-1.319775561
"Chuckanut, Clark's Point",PCB199,-1.319775561
"Chuckanut, Clark's Point",PCB205,-1.319775561
"Chuckanut, Clark's Point",PCB206,-1.319775561
"Chuckanut, Clark's Point",PCB208,-1.319775561
"Chuckanut, Clark's Point",PCB209,-1.319775561
"Chuckanut, Clark's Point",PCB028,1.721446384
"Chuckanut, Clark's Point",PCB031,1.893591022
"Chuckanut, Clark's Point",PCB033,1.434538653
"Chuckanut, Clark's Point",PCB044,-1.319775561
"Chuckanut, Clark's Point",PCB049,-1.319775561
"Chuckanut, Clark's Point",PCB052,-1.319775561
"Chuckanut, Clark's Point",PCB066,-1.319775561
"Chuckanut, Clark's Point",PCB070,-1.319775561
"Chuckanut, Clark's Point",PCB074,-1.319775561
"Chuckanut, Clark's Point",PCB082,-1.319775561
"Chuckanut, Clark's Point",PCB087,-1.319775561
"Chuckanut, Clark's Point",PCB095,-1.319775561
"Chuckanut, Clark's Point",PCB099,-1.319775561
"Chuckanut, Clark's Point",cis_nonachlor,-1.319775561
"Chuckanut, Clark's Point",dieldrin,-1.03286783
"Chuckanut, Clark's Point",Endosulfan_1,-1.147630923
"Chuckanut, Clark's Point",hexachlorobenzene,-1.319775561
"Chuckanut, Clark's Point",heptachlor,-1.147630923
"Chuckanut, Clark's Point",heptachlor_epoxide,-1.205012469
"Chuckanut, Clark's Point",gamma_hexachlorocyclohexane,-1.090249377
"Chuckanut, Clark's Point",mirex,-1.319775561
"Chuckanut, Clark's Point",nonachlor3,-1.319775561
"Chuckanut, Clark's Point",opDDD,-1.319775561
"Chuckanut, Clark's Point",opDDE,-1.319775561
"Chuckanut, Clark's Point",opDDT,-1.319775561
"Chuckanut, Clark's Point",Oxychlordane,-1.319775561
"Chuckanut, Clark's Point",ppDDD,-1.319775561
