site_number,Individual,weight,length,width,height,weight_final,weight_change,condition_factor,avg_thickness,economic_index
55,178,16.0509,57.95,20.3,20.29,5.9149,10.14,0.277,0.95,0.0024
55,179,14.235,57.35,28.27,19.4,5.0862,9.15,0.2482,1.095,0.0026
55,180,18.8134,63.79,26.26,22.58,6.3374,12.48,0.2949,0.825,0.0018
55,181,13.8212,55.18,19.72,19.51,4.6307,9.19,0.2505,0.8,0.0021
73,182,13.8965,54.67,25.27,20.84,4.5572,9.34,0.2542,0.78,0.0020
73,183,17.4702,57.21,28.8,22.8,4.9008,12.57,0.3054,0.66,0.0015
73,184,16.9597,58.76,26.24,21.88,5.1493,11.81,0.2886,0.845,0.0020
73,185,11.9314,56.79,24.55,18.22,4.0596,7.87,0.2101,0.805,0.0020
72,186,14.6224,54.54,28.09,20.81,3.9024,10.72,0.2681,0.63,0.0015
72,187,12.5691,51.98,26.68,17.89,3.9334,8.64,0.2418,0.62,0.0016
72,188,20.949,61.76,30.82,23.43,5.8743,15.07,0.3392,0.835,0.0018
72,189,20.7405,63.84,29.93,23.89,5.7561,14.98,0.3249,0.745,0.0016
70,190,14.5461,56.37,27.92,20.28,4.7537,9.79,0.258,0.845,0.0020
70,191,16.6748,61.83,26.18,20.91,5.1061,11.57,0.2697,0.82,0.0019
70,192,12.4718,57.07,25.37,18.96,3.8557,8.62,0.2185,0.83,0.0020
70,193,13.5347,58.97,26.45,18.12,4.0733,9.46,0.2295,0.64,0.0015
54,194,16.1055,59.19,25.93,19.63,5.4875,10.62,0.2721,0.84,0.0020
54,195,13.2927,54.25,24.56,19.23,3.715,9.58,0.245,0.8,0.0020
54,196,16.4479,57.74,27.12,20.91,4.7359,11.71,0.2849,0.82,0.0019
54,197,17.3342,60.09,27.76,19.32,5.1713,12.16,0.2885,0.935,0.0021
38,198,14.9453,55.65,25.47,20.93,4.7921,10.15,0.2686,0.85,0.0021
38,199,14.6639,56.2,25.49,18.55,4.9384,9.73,0.2609,0.955,0.0023
38,200,16.2984,59.63,27.71,21.61,5.4473,10.85,0.2733,0.925,0.0021
38,201,11.9811,54.05,22.13,18.98,3.3612,8.62,0.2217,0.695,0.0018
51,202,17.2718,62.6,25.95,19.69,4.9079,12.36,0.2759,0.8,0.0018
51,203,10.9043,52.34,24.4,17.36,3.2889,7.62,0.2083,0.665,0.0017
51,204,15.9279,58.34,26.6,20.33,4.6187,11.31,0.273,0.735,0.0017
51,205,16.4467,59.08,26.68,20.34,4.6576,11.79,0.2784,0.9,0.0021
66,206,13.4805,54.02,24.63,19.3,4.3566,9.12,0.2495,0.885,0.0023
66,207,11.2969,53.39,23.39,17.76,4.2838,7.01,0.2116,0.865,0.0023
66,208,12.0613,55.04,23.55,17.61,3.9915,8.07,0.2191,0.675,0.0017
66,209,11.1796,54.89,24.01,16.35,3.7395,7.44,0.2037,0.68,0.0017
62,210,16.713,58.83,24.46,22.97,4.895,11.82,0.2841,0.9,0.0022
62,211,12.0054,53.68,26.07,18.14,3.6597,8.35,0.2236,0.79,0.0020
62,212,13.9279,53.44,20.27,20.5,4.5269,9.4,0.2606,0.89,0.0024
62,213,16.9313,60.18,25.72,21.41,5.126,11.81,0.2813,0.71,0.0017
64,214,11.2831,57.43,25.92,18.45,4.1148,7.17,0.1965,0.955,0.0023
64,215,11.3933,53.57,24.6,17.72,3.1508,8.24,0.2127,0.725,0.0019
64,216,11.3933,53.57,24.6,17.72,3.1508,8.24,0.2127,0.6,0.0015
64,217,10.5416,52.36,22.32,16.69,3.586,6.96,0.2013,0.88,0.0024
53,218,13.7631,57.42,25.21,19.19,3.3912,10.37,0.2397,0.58,0.0014
53,219,10.5999,52.94,24.36,16.78,3.4075,7.19,0.2002,0.595,0.0015
53,220,14.2128,58.28,25.86,20.23,3.8237,10.39,0.2439,0.805,0.0019
53,221,15.0722,58.52,26.34,19.14,4.0037,11.07,0.2576,0.635,0.0015
61,222,14.5021,60.9,24.29,19.98,4.5973,9.9,0.2381,0.895,0.0021
61,223,11.6584,54.03,23.87,18.82,3.5165,8.14,0.2158,0.625,0.0016
61,224,9.0205,55.34,24.11,17.31,3.9931,5.03,0.163,0.735,0.0019
61,225,14.4405,57.93,24.75,19.56,4.0096,10.43,0.2493,0.845,0.0020
61,226,10.9472,53.84,22.43,17.2,3.2471,7.7,0.2033,0.65,0.0017
69,227,13.7023,54.82,24.53,18.88,4.1756,9.53,0.25,0.885,0.0022
69,228,13.1934,57.37,22.89,19.44,3.699,9.49,0.23,0.665,0.0017
69,229,17.7662,59.17,25.11,20.6,5.257,12.51,0.3003,0.82,0.0019
69,230,13.248,53.43,23.41,19.35,4.0678,9.18,0.248,0.39,0.0010
20,231,18.0963,61.73,26.72,20.26,6.1504,11.95,0.2932,0.96,0.0022
20,232,15.764,56.11,27.53,20.84,4.6284,11.14,0.2809,0.745,0.0018
20,233,16.5219,60.24,27.17,22.22,4.9909,11.53,0.2743,0.895,0.0020
20,234,13.4365,55.5,24.19,20.64,3.7933,9.64,0.2421,0.685,0.0017
76,235,9.2545,55.41,24.21,17.03,2.4837,6.77,0.167,0.665,0.0017
76,236,13.8129,60.76,26.69,19.52,3.3086,10.5,0.2273,0.6,0.0014
76,237,15.9516,62.18,28.13,19.55,4.6941,11.26,0.2565,0.745,0.0016
76,238,17.1125,61.46,27.47,21.09,4.6849,12.43,0.2784,0.74,0.0017
77,239,11.6884,53.9,22.73,18.59,3.2826,8.41,0.2169,0.7,0.0018
77,240,10.833,53.49,23.92,18.36,3.4809,7.35,0.2025,0.79,0.0020
77,241,14.7041,55.99,27.79,19.57,4.7251,9.98,0.2626,0.825,0.0020
