"site_number","site_name","reporting_area","latitude","longitude","p450","sod","shell","ci1","ci2","ci3","length","height","width","weight_change","weight_initial","weight_final","ibr_bio","ibr_morph","ibr_combined","chlordane_index","ddt_index","hch_index","heavy_metal_index","nutrient_metal_index","total_metal_index","pah_lmw_index","pah_hmw_index","pah_add_index","total_pah_index","pbde_index","pcb_index","pesticide_index","total_con_index","cluster"
"53","Raft Island Park","13",47.32598,-122.66724,0.829261971,-4.229150323,0.096259144,0.087142733,0.041218141,-0.133459639,-0.039097204,-0.167497497,-0.121700676,-0.241022818,-0.280995447,-0.390597688,5.284806838,0.713704908,5.998511745,0,0.609205289,0,8.605832388,1.621121594,10.22695398,1.1329325,0.233350879,2.139119284,3.505402663,0,12.63742924,0,26.97899117,2
"39","Reach Island","13",47.346537,-122.82236,1.302350116,-3.462513152,0.338172009,-0.050925602,-0.078834314,-0.093387469,-0.071226488,-0.057460978,-0.121128287,-0.300657425,-0.221222597,-0.052812669,4.803141423,1.11685824,5.919999662,0,0.761506611,0,4.30849316,2.666187494,6.974680654,5.063277824,0.592981645,4.395009033,10.0512685,0,20.30843057,0,38.09588634,2
"32","Rich Passage","10",47.578117,-122.524833,0.887351851,-2.286470947,0.414021286,0.052395105,0.017523167,-0.106615352,-0.072465588,-0.154530435,-0.139280092,-0.313722912,-0.330635281,-0.372989661,3.410755396,1.104496279,4.515251675,0,1.447498965,0,7.189033793,2.077246299,9.266280093,3.838967115,1.670903411,2.256234126,7.766104652,1.71594097,34.74117152,0,54.9369962,2
"27","Rocky Point","10",47.60255,-122.66992,1.500645696,-0.376235118,0.178872152,0.018305206,0.021532562,0.096034391,-0.118384886,-0.043655668,-0.10710319,-0.250751193,-0.2709118,-0.321983543,2.401462084,0.742586428,3.144048512,0,1.248870842,1.509485334,5.901846332,3.147336098,9.04918243,7.398534306,2.401121273,4.077737718,13.8773933,0.865306945,30.30853381,0,56.85877266,3
"16","Salmon Bay, Commodore Park","10",47.6663,-122.4018,0.981402766,-1.655270685,0.217879372,0.041798029,0.029142769,-0.008383921,-0.007821509,-0.040365615,-0.024754448,-0.031013594,-0.059296244,-0.134893603,2.723968462,0.429109821,3.153078282,10.04091987,10.03024255,12.30817693,11.74311206,3.969735822,15.71284788,3.643149467,9.91290398,3.425464716,16.98151816,3.330286997,36.68315434,2.957343456,108.0444902,2
"40","Salmon Beach","11",47.29464,-122.53053,-0.174877197,-3.115203336,0.493244462,0.00375951,-0.040722571,-0.107756938,-0.097230648,-0.121757714,-0.180887168,-0.396013874,-0.354336356,-0.259899047,3.958788878,1.384149311,5.342938189,0,0.791966875,0,5.582209774,0.726423716,6.308633489,9.941712506,2.322251187,4.729701586,16.99366528,0.837393818,16.05636475,0,40.98802421,2
"17","Seattle Aquarium, Pier 59","10",47.607,-122.342,0.513228911,-1.017460803,0.470412411,0.120740504,0.000668033,-0.180762093,0.011177672,-0.176045316,-0.099044527,-0.143044295,-0.142767007,-0.143932255,2.675147275,0.97913255,3.654279825,0,4.418864023,6.141993028,7.303417606,2.45312256,9.756540166,3.841817117,38.72168671,3.938510529,46.50201436,2.612343684,58.38632435,1.26743291,129.0855125,3
"18","Shilshole Bay","10",47.671678,-122.406663,0.35753458,-1.214204999,-0.125632049,-0.054837052,0.049032997,-0.119944306,-0.129221967,-0.158841106,-0.160571347,-0.503344769,-0.551574628,-0.684553776,2.385293902,1.080732834,3.466026737,5.817550869,11.62086054,0,12.88523118,3.262342163,16.14757334,21.80245396,20.62844284,9.015358863,51.44625566,3.369180761,45.5391262,2.788352402,136.7288998,3
"35","Silverdale, Dyes Inlet","10",47.6427936,-122.6967068,-0.573118604,0.936682611,0.174749937,0.042371728,-0.011503973,0.019387866,-0.058693853,-0.092861166,-0.038659505,-0.147549149,-0.135015155,-0.105967027,1.509801215,0.657735066,2.16753628,0,2.061445753,1.509485334,7.546586799,3.084628996,10.63121579,14.58797324,2.216475572,5.294787621,22.09923643,1.938322917,20.26037771,1.605415019,60.10549895,3
"24","Skiff Point","10",47.66142,-122.49884,1.064510685,-1.376474178,-0.12358689,0.007179163,0.006934478,-0.118727046,-0.020855998,-0.051746675,-0.112985615,-0.178252873,-0.184375715,-0.20381249,2.514288786,0.602434359,3.116723145,0,1.066109255,0,6.498028842,1.614313604,8.112342446,3.065371547,1.780836768,2.427782468,7.273990783,0,13.9877027,0,30.44014518,3
"15","Smith Cove, Terminal 91","10",47.63237,-122.37869,0.68140945,-0.607433242,0.275377986,0.091864887,-0.005655971,0.113781937,-0.114348701,-0.115064593,-0.092786136,-0.230250172,-0.223356274,-0.210134069,1.628184118,0.976793309,2.604977427,9.029739472,19.12217326,12.2709428,7.615970275,5.371177844,12.98714812,4.919072941,70.12523609,4.690343948,79.73465298,13.6681864,84.56391717,13.72998568,245.1067459,3
