"Group1","Group2","Diff","Lower","Upper","P.adj","Significant","Group1_CLD","Group2_CLD"
"Salmon Bay, Commodore Park","Arroyo Beach","0.0135273767499978","-2.6640850607392","2.6911398142392","1","No","abc","abc"
"Salmon Beach","Arroyo Beach","-1.14275258675","-3.8203650242392","1.5348598507392","0.999998543978526","No","abc","abc"
"Seattle Aquarium, Pier 59","Arroyo Beach","-0.454646478750002","-3.1322589162392","2.2229659587392","1","No","abc","abc"
"Shilshole Bay","Arroyo Beach","-0.610340810000003","-3.2879532474892","2.0672716274892","1","No","abc","abc"
"Silverdale, Dyes Inlet","Arroyo Beach","-1.540993993","-4.2186064304892","1.1366184444892","0.992101436720176","No","ac","abc"
"Skiff Point","Arroyo Beach","0.0966352957499976","-2.5809771417392","2.7742477332392","1","No","abc","abc"
"Smith Cove, Terminal 91","Arroyo Beach","-0.286465939250003","-2.9640783767392","2.3911464982392","1","No","abc","abc"
"South of Skunk Island","Arroyo Beach","-0.161104770500003","-2.8387172079892","2.5165076669892","1","No","abc","abc"
"Squaxin Island","Arroyo Beach","0.496746059749998","-2.1808663777392","3.1743584972392","1","No","abc","abc"
"Suquamish Stormwater Outfall","Arroyo Beach","-0.376412516500003","-3.0540249539892","2.3011999209892","1","No","abc","abc"
"Thea Foss Waterway","Arroyo Beach","-0.00114805700000231","-2.51297117209972","2.51067505809971","1","No","abc","abc"
"Three Tree Point","Arroyo Beach","0.808802898749997","-1.8688095387392","3.4864153362392","1","No","ab","abc"
"Tulalip Bay","Arroyo Beach","0.400066947999997","-1.9948624230499","2.7949963190499","1","No","abc","abc"
"Tulalip Reservation","Arroyo Beach","0.169650561249998","-2.5079618762392","2.8472629987392","1","No","abc","abc"
"West Bay Park","Arroyo Beach","0.841986710249998","-1.8356257272392","3.5195991477392","1","No","ab","abc"
"Williams Olson Park","Arroyo Beach","-0.640791138750002","-3.3184035762392","2.0368212987392","1","No","abc","abc"
"Blair Waterway Two","Blair Waterway","-0.0956804509999919","-3.02885791553844","2.83749701353846","1","No","abc","abc"
"Brackenwood Lane","Blair Waterway","-1.30876439900001","-4.24194186353846","1.62441306553844","0.999992972293074","No","abc","abc"
"Broad Spit","Blair Waterway","-1.14959562049999","-4.08277308503845","1.78358184403846","0.999999945492924","No","abc","abc"
"Browns Point Lighthouse","Blair Waterway","0.622548226000007","-2.31062923853844","3.55572569053846","1","No","abc","abc"
"Cap Sante","Blair Waterway","-0.467481667749998","-3.40065913228845","2.46569579678845","1","No","abc","abc"
"Chambers Bay Park","Blair Waterway","0.537454871500017","-2.39572259303843","3.47063233603847","1","No","abc","abc"
"Cherry Point Aquatic Reserve, Conoco Phillips","Blair Waterway","-0.222487883999993","-3.15566534853844","2.71068958053846","1","No","abc","abc"
"Chimacum Creek delta","Blair Waterway","-0.73646478949999","-3.66964225403844","2.19671267503846","1","No","abc","abc"
"Chuckanut, Clark's Point","Blair Waterway","-0.827169630249996","-3.76034709478845","2.10600783428846","1","No","abc","abc"
"Commencement Bay Skookum","Blair Waterway","0.439116834000004","-2.49406063053845","3.37229429853846","1","No","abc","abc"
"Commencement Bay, Dick Gilmur Launch","Blair Waterway","-0.279871050749996","-3.21304851528845","2.65330641378846","1","No","abc","abc"
"Commencement Bay, Milwaukee Waterway","Blair Waterway","0.617205017200017","-2.16545145362577","3.3998614880258","1","No","ab","abc"
"Des Moines Marina","Blair Waterway","0.795643993500001","-2.13753347103845","3.72882145803845","1","No","ab","abc"
"Discovery Bay","Blair Waterway","-0.293150104249991","-3.22632756878844","2.64002736028846","1","No","abc","abc"
"Donkey Creek Delta","Blair Waterway","-0.350724864499992","-3.28390232903844","2.58245260003846","1","No","abc","abc"
"Eagle Harbor Dr","Blair Waterway","-1.33525760449999","-4.26843506903844","1.59791986003846","0.999986176225511","No","ac","abc"
"Eastsound, Fishing Bay","Blair Waterway","-1.288590699","-4.22176816353845","1.64458676553846","0.999995898232866","No","abc","abc"
